El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Latina;Madrid;
2005;Anual;20,25;18,62;
2006;Anual;20,85;18,74;
2007;Anual;21,13;18,76;
2008;Anual;21,32;18,58;
2009;Anual;21,82;18,58;
2010;Anual;22,5;18,77;
2011;Anual;23,1;19,04;
2012;Anual;23,74;19,36;
2013;Anual;24,22;19,67;
2014;Anual;24,91;20,18;
2015;Anual;25,33;20,49;
2016;Anual;25,35;20,46;
2017;Anual;25,24;20,46;
2018;Anual;25,04;20,39;
2019;Anual;24,79;20,26;
2020;Anual;24,35;20,06;
2021;Anual;24,16;20,03;
2022;Anual;24,31;20,28;
2023;Anual;23,85;20,2;
2024;Anual;23,34;19,97;
2025;Anual;23,14;20,01;
