El municipio en cifras
Índice de feminidad
Año;Periodos;Latina;Madrid;
2005;Anual;109,8;112,8;
2006;Anual;109,5;112,5;
2007;Anual;109,6;112,6;
2008;Anual;109,2;112,4;
2009;Anual;109,4;112,3;
2010;Anual;110,1;112,7;
2011;Anual;111,3;113,3;
2012;Anual;112,4;114;
2013;Anual;113,4;114,5;
2014;Anual;114,2;114,8;
2015;Anual;114,5;115;
2016;Anual;115;114,9;
2017;Anual;115,3;114,8;
2018;Anual;115,5;114,7;
2019;Anual;115,7;114,7;
2020;Anual;115,7;114,5;
2021;Anual;115,9;114,4;
2022;Anual;115,6;114,1;
2023;Anual;115,6;114,1;
2024;Anual;115;113,5;
2025;Anual;115;113,1;
