El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Latina;Madrid;
2005;Anual;15,7;16,3;
2006;Anual;17,9;17,9;
2007;Anual;19,3;18,4;
2008;Anual;21,2;19,8;
2009;Anual;22,2;20,8;
2010;Anual;22,5;21,1;
2011;Anual;22,5;21,1;
2012;Anual;22;20,4;
2013;Anual;21,8;20,2;
2014;Anual;21;19,5;
2015;Anual;20,8;19,3;
2016;Anual;21,2;19,7;
2017;Anual;21,7;20,1;
2018;Anual;22,96;21,03;
2019;Anual;24,27;22,16;
2020;Anual;25,96;23,61;
2021;Anual;26,85;24,32;
2022;Anual;27,05;24,62;
2023;Anual;28,99;26,3;
2024;Anual;31,6;28,76;
2025;Anual;33,04;30,22;
