El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Latina;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;14,17;14,29;
2006;Anual;16,3;15,82;
2007;Anual;17,37;15,86;
2008;Anual;18,87;16,9;
2009;Anual;19,42;17,47;
2010;Anual;19,15;17,34;
2011;Anual;18,78;16,93;
2012;Anual;17,24;15,43;
2013;Anual;16,06;14,41;
2014;Anual;14,49;13,14;
2015;Anual;13,28;12,07;
2016;Anual;13,28;12,19;
2017;Anual;13,51;12,41;
2018;Anual;14,48;13,12;
2019;Anual;15,61;14,1;
2020;Anual;17,07;15,32;
2021;Anual;17,73;15,82;
2022;Anual;17,48;15,74;
2023;Anual;19,05;17,08;
2024;Anual;21,15;18,99;
2025;Anual;22,04;19,99;
