El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Latina;Madrid;
2015;Enero;12,89;11,24;
2015;Febrero;12,89;11,3;
2015;Marzo;12,82;11,24;
2015;Abril;12,51;10,97;
2015;Mayo;12,07;10,62;
2015;Junio;11,76;10,33;
2015;Julio;11,65;10,25;
2015;Agosto;11,82;10,39;
2015;Septiembre;11,88;10,35;
2015;Octubre;11,91;10,4;
2015;Noviembre;11,78;10,27;
2015;Diciembre;11,53;10,07;
2016;Enero;11,77;10,23;
2016;Febrero;11,83;10,27;
2016;Marzo;11,75;10,22;
2016;Abril;11,52;10,02;
2016;Mayo;11,13;9,72;
2016;Junio;10,95;9,56;
2016;Julio;10,73;9,46;
2016;Agosto;10,96;9,57;
2016;Septiembre;10,86;9,46;
2016;Octubre;10,93;9,46;
2016;Noviembre;10,85;9,34;
2016;Diciembre;10,5;9,09;
2017;Enero;10,66;9,29;
2017;Febrero;10,72;9,35;
2017;Marzo;10,44;9,2;
2017;Abril;10,09;8,95;
2017;Mayo;9,87;8,74;
2017;Junio;9,7;8,6;
2017;Julio;9,84;8,63;
2017;Agosto;9,96;8,74;
2017;Septiembre;9,87;8,7;
2017;Octubre;9,87;8,7;
2017;Noviembre;9,65;8,48;
2017;Diciembre;9,43;8,28;
2018;Enero;9,7;8,53;
2018;Febrero;9,75;8,57;
2018;Marzo;9,68;8,48;
2018;Abril;9,45;8,3;
2018;Mayo;9,04;8,05;
2018;Junio;8,87;7,85;
2018;Julio;8,84;7,85;
2018;Agosto;8,92;7,91;
2018;Septiembre;8,93;7,87;
2018;Octubre;8,96;7,81;
2018;Noviembre;8,73;7,67;
2018;Diciembre;8,52;7,48;
2019;Enero;8,77;7,73;
2019;Febrero;8,85;7,82;
2019;Marzo;8,78;7,8;
2019;Abril;8,59;7,66;
2019;Mayo;8,36;7,48;
2019;Junio;8,27;7,35;
2019;Julio;8,26;7,37;
2019;Agosto;8,38;7,49;
2019;Septiembre;8,33;7,43;
2019;Octubre;8,52;7,52;
2019;Noviembre;8,48;7,45;
2019;Diciembre;8,25;7,3;
2020;Enero;8,58;7,54;
2020;Febrero;8,52;7,57;
2020;Marzo;8,78;7,8;
2020;Abril;9,89;8,74;
2020;Mayo;10,27;9,14;
2020;Junio;10,3;9,16;
2020;Julio;10,54;9,37;
2020;Agosto;10,73;9,5;
2020;Septiembre;10,61;9,36;
2020;Octubre;10,79;9,51;
2020;Noviembre;10,79;9,51;
2020;Diciembre;10,85;9,54;
2021;Enero;11,03;9,71;
2021;Febrero;11,28;9,87;
2021;Marzo;11,28;9,83;
2021;Abril;11,17;9,72;
2021;Mayo;10,9;9,48;
2021;Junio;10,59;9,29;
2021;Julio;10,43;9,14;
2021;Agosto;10,49;9,17;
2021;Septiembre;10,28;8,95;
2021;Octubre;10,04;8,71;
2021;Noviembre;9,77;8,51;
2021;Diciembre;9,13;7,91;
2022;Enero;8,97;7,74;
2022;Febrero;8,53;7,33;
2022;Marzo;8,34;7,28;
2022;Abril;8,01;7,01;
2022;Mayo;7,61;6,68;
2022;Junio;7,42;6,5;
2022;Julio;7,46;6,56;
2022;Agosto;7,53;6,6;
2022;Septiembre;7,59;6,6;
2022;Octubre;7,57;6,57;
2022;Noviembre;7,41;6,42;
2022;Diciembre;7,24;6,33;
2023;Enero;7,5;6,56;
2023;Febrero;7,66;6,67;
2023;Marzo;7,7;6,72;
2023;Abril;7,53;6,59;
2023;Mayo;7,22;6,38;
2023;Junio;7,15;6,32;
2023;Julio;6,98;6,2;
2023;Agosto;7,02;6,23;
2023;Septiembre;7,13;6,26;
2023;Octubre;7,04;6,23;
2023;Noviembre;6,95;6,13;
2023;Diciembre;6,82;6,02;
2024;Enero;7,1;6,23;
2024;Febrero;7,1;6,22;
2024;Marzo;7,1;6,24;
2024;Abril;6,89;6,07;
2024;Mayo;6,75;5,94;
2024;Junio;6,64;5,84;
2024;Julio;6,61;5,83;
2024;Agosto;6,67;5,87;
2024;Septiembre;6,67;5,87;
2024;Octubre;6,6;5,85;
2024;Noviembre;6,5;5,76;
2024;Diciembre;6,47;5,68;
2025;Enero;6,57;5,75;
2025;Febrero;6,73;5,84;
2025;Marzo;6,67;5,89;
2025;Abril;6,55;5,82;
2025;Mayo;6,39;5,69;
2025;Junio;6,27;5,57;
2025;Julio;6,32;5,59;
2025;Agosto;6,38;5,7;
2025;Septiembre;6,33;5,66;
2025;Octubre;6,49;5,71;
2025;Noviembre;6,41;5,64;
2025;Diciembre;6,39;5,61;
2026;Enero;6,46;5,69;
2026;Febrero;6,57;5,76;
