El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Latina;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;9,98;71;
2011;Anual;11,99;69,87;
2012;Anual;12,27;70,49;
2013;Anual;13,24;73;
2014;Anual;13,37;73,66;
2015;Anual;14,09;76,17;
2016;Anual;14,3;79,58;
2017;Anual;14,58;81,08;
2018;Anual;14,86;83,22;
2019;Anual;15,26;85,23;
2020;Anual;14,79;85,5;
2021;Anual;13,73;83,51;
2022;Anual;15,25;88,8;
2023;Anual;15,54;91,68;
