El municipio en cifras
Parados registrados
Año;Periodos;Latina;
2012;Diciembre;19946;
2013;Enero;20742;
2013;Febrero;20950;
2013;Marzo;21084;
2013;Abril;20918;
2013;Mayo;20558;
2013;Junio;20050;
2013;Julio;20222;
2013;Agosto;20345;
2013;Septiembre;20326;
2013;Octubre;20376;
2013;Noviembre;20250;
2013;Diciembre;19631;
2014;Enero;20013;
2014;Febrero;20092;
2014;Marzo;20010;
2014;Abril;19636;
2014;Mayo;19045;
2014;Junio;18531;
2014;Julio;18641;
2014;Agosto;18791;
2014;Septiembre;18918;
2014;Octubre;18999;
2014;Noviembre;18887;
2014;Diciembre;18385;
2015;Enero;18777;
2015;Febrero;18795;
2015;Marzo;18658;
2015;Abril;18225;
2015;Mayo;17572;
2015;Junio;17132;
2015;Julio;16984;
2015;Agosto;17160;
2015;Septiembre;17248;
2015;Octubre;17330;
2015;Noviembre;17168;
2015;Diciembre;16795;
2016;Enero;17130;
2016;Febrero;17235;
2016;Marzo;17067;
2016;Abril;16772;
2016;Mayo;16242;
2016;Junio;15920;
2016;Julio;15635;
2016;Agosto;15930;
2016;Septiembre;15799;
2016;Octubre;15851;
2016;Noviembre;15776;
2016;Diciembre;15298;
2017;Enero;15512;
2017;Febrero;15606;
2017;Marzo;15232;
2017;Abril;14712;
2017;Mayo;14407;
2017;Junio;14177;
2017;Julio;14424;
2017;Agosto;14576;
2017;Septiembre;14459;
2017;Octubre;14471;
2017;Noviembre;14217;
2017;Diciembre;13895;
2018;Enero;14307;
2018;Febrero;14415;
2018;Marzo;14342;
2018;Abril;13982;
2018;Mayo;13412;
2018;Junio;13153;
2018;Julio;13104;
2018;Agosto;13246;
2018;Septiembre;13283;
2018;Octubre;13334;
2018;Noviembre;13024;
2018;Diciembre;12750;
2019;Enero;13154;
2019;Febrero;13262;
2019;Marzo;13170;
2019;Abril;12899;
2019;Mayo;12607;
2019;Junio;12518;
2019;Julio;12549;
2019;Agosto;12763;
2019;Septiembre;12724;
2019;Octubre;12990;
2019;Noviembre;12987;
2019;Diciembre;12675;
2020;Enero;13211;
2020;Febrero;13138;
2020;Marzo;13557;
2020;Abril;15265;
2020;Mayo;15843;
2020;Junio;15893;
2020;Julio;16212;
2020;Agosto;16515;
2020;Septiembre;16351;
2020;Octubre;16600;
2020;Noviembre;16624;
2020;Diciembre;16703;
2021;Enero;16993;
2021;Febrero;17318;
2021;Marzo;17150;
2021;Abril;17037;
2021;Mayo;16629;
2021;Junio;16112;
2021;Julio;15892;
2021;Agosto;15977;
2021;Septiembre;15660;
2021;Octubre;15278;
2021;Noviembre;14871;
2021;Diciembre;13932;
2022;Enero;13608;
2022;Febrero;12968;
2022;Marzo;12710;
2022;Abril;12276;
2022;Mayo;11725;
2022;Junio;11489;
2022;Julio;11563;
2022;Agosto;11563;
2022;Septiembre;11779;
2022;Octubre;11787;
2022;Noviembre;11559;
2022;Diciembre;11274;
2023;Enero;11684;
2023;Febrero;11925;
2023;Marzo;11998;
2023;Abril;11731;
2023;Mayo;11486;
2023;Junio;11364;
2023;Julio;11223;
2023;Agosto;11329;
2023;Septiembre;11493;
2023;Octubre;11415;
2023;Noviembre;11267;
2023;Diciembre;11154;
2024;Enero;11629;
2024;Febrero;11690;
2024;Marzo;11704;
2024;Abril;11397;
2024;Mayo;11193;
2024;Junio;11027;
2024;Julio;11016;
2024;Agosto;11100;
2024;Septiembre;11131;
2024;Octubre;11042;
2024;Noviembre;11331;
2024;Diciembre;10851;
2025;Enero;10998;
2025;Febrero;11273;
2025;Marzo;11160;
2025;Abril;10949;
2025;Mayo;10640;
2025;Junio;10408;
2025;Julio;10499;
2025;Agosto;10561;
2025;Septiembre;10446;
2025;Octubre;10733;
2025;Noviembre;10594;
2025;Diciembre;10557;
2026;Enero;10672;
2026;Febrero;10843;
