El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Latina;Madrid;
2005;Anual;23,72;26,61;
2006;Anual;23,95;27,11;
2007;Anual;24,7;28,12;
2008;Anual;25,27;28,96;
2009;Anual;25,99;29,9;
2010;Anual;26,68;30,78;
2011;Anual;27,44;31,72;
2012;Anual;28,6;32,61;
2013;Anual;29,65;33,51;
2014;Anual;30,64;34,33;
2015;Anual;31,82;35,02;
2016;Anual;32,89;35,49;
2017;Anual;34,4;36,1;
2018;Anual;35,42;36,19;
2019;Anual;36,3;36;
2020;Anual;36,6;35,2;
2021;Anual;38,3;35,4;
2022;Anual;38,8;35;
2023;Anual;39,27;34,59;
2024;Anual;40,3;34,7;
2025;Anual;41,11;34,76;
