El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Carabanchel;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;3.128;6.949;10.077;42.053;92.109;134.162
2; 80 - 84;2.991;5.084;8.075;42.412;68.809;111.221
3; 75 - 79;3.718;5.675;9.393;53.602;80.108;133.710
4; 70 - 74;4.027;5.712;9.739;60.418;83.243;143.661
5; 65 - 69;5.686;7.194;12.880;80.493;102.569;183.062
6; 60 - 64;7.763;9.290;17.053;102.853;122.998;225.851
7; 55 - 59;9.416;10.759;20.175;116.074;132.847;248.921
8; 50 - 54;10.964;11.956;22.920;126.476;138.636;265.112
9; 45 - 49;10.766;12.014;22.780;130.316;139.236;269.552
10; 40 - 44;9.809;10.571;20.380;122.467;127.825;250.292
11; 35 - 39;9.862;9.835;19.697;122.464;125.667;248.131
12; 30 - 34;10.799;10.965;21.764;133.726;137.801;271.527
13; 25 - 29;10.295;10.602;20.897;124.072;132.589;256.661
14; 20 - 24;8.747;8.386;17.133;100.514;102.254;202.768
15; 15 - 19;7.420;7.149;14.569;84.747;81.427;166.174
16; 10 - 14;6.626;6.216;12.842;77.909;75.033;152.942
17; 5 - 9;5.590;5.351;10.941;71.169;68.166;139.335
18; 0 - 4;4.777;4.593;9.370;63.996;60.839;124.835
