El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Carabanchel;Madrid;
2005;Anual;12,98;13,59;
2006;Anual;13,13;13,6;
2007;Anual;13,53;13,72;
2008;Anual;13,9;13,87;
2009;Anual;14,21;14,05;
2010;Anual;14,55;14,19;
2011;Anual;14,79;14,29;
2012;Anual;15;14,4;
2013;Anual;15,16;14,46;
2014;Anual;15,12;14,48;
2015;Anual;15,18;14,5;
2016;Anual;15,21;14,51;
2017;Anual;15,2;14,49;
2018;Anual;15,01;14,37;
2019;Anual;14,76;14,22;
2020;Anual;14,54;13,98;
2021;Anual;14,21;13,76;
2022;Anual;13,88;13,55;
2023;Anual;13,64;13,29;
2024;Anual;13,22;13,03;
2025;Anual;12,82;12,74;
