El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Carabanchel;Madrid;
2005;Anual;67,3;67,8;
2006;Anual;67,3;67,7;
2007;Anual;67,3;67,5;
2008;Anual;67,3;67,5;
2009;Anual;67,1;67,4;
2010;Anual;66,7;67;
2011;Anual;66,3;66,7;
2012;Anual;65,7;66,2;
2013;Anual;65,3;65,9;
2014;Anual;64,9;65,3;
2015;Anual;64,6;65;
2016;Anual;64,7;65;
2017;Anual;65;65,1;
2018;Anual;65,4;65,2;
2019;Anual;65,99;65,53;
2020;Anual;66,66;65,96;
2021;Anual;67,23;66,21;
2022;Anual;67,39;66,17;
2023;Anual;68,01;66,51;
2024;Anual;68,88;67,01;
2025;Anual;69,3;67,25;
