El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Carabanchel;Madrid;
2005;Anual;19,71;18,62;
2006;Anual;19,58;18,74;
2007;Anual;19,17;18,76;
2008;Anual;18,82;18,58;
2009;Anual;18,68;18,58;
2010;Anual;18,71;18,77;
2011;Anual;18,96;19,04;
2012;Anual;19,27;19,36;
2013;Anual;19,55;19,67;
2014;Anual;20,01;20,18;
2015;Anual;20,24;20,49;
2016;Anual;20,07;20,46;
2017;Anual;19,84;20,46;
2018;Anual;19,6;20,39;
2019;Anual;19,24;20,26;
2020;Anual;18,8;20,06;
2021;Anual;18,56;20,03;
2022;Anual;18,73;20,28;
2023;Anual;18,35;20,2;
2024;Anual;17,9;19,97;
2025;Anual;17,88;20,01;
