El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Carabanchel;Madrid;
2005;Anual;25,19;26,61;
2006;Anual;25,88;27,11;
2007;Anual;26,99;28,12;
2008;Anual;28,04;28,96;
2009;Anual;29,38;29,9;
2010;Anual;30,51;30,78;
2011;Anual;31,42;31,72;
2012;Anual;32,62;32,61;
2013;Anual;33,8;33,51;
2014;Anual;35,06;34,33;
2015;Anual;36,04;35,02;
2016;Anual;36,84;35,49;
2017;Anual;37,55;36,1;
2018;Anual;37,78;36,19;
2019;Anual;37,9;36;
2020;Anual;37,1;35,2;
2021;Anual;37,5;35,4;
2022;Anual;37;35;
2023;Anual;36,4;34,59;
2024;Anual;36,2;34,7;
2025;Anual;36,19;34,76;
