El municipio en cifras
Índice de feminidad
Año;Periodos;Carabanchel;Madrid;
2005;Anual;110,3;112,8;
2006;Anual;109,5;112,5;
2007;Anual;109,2;112,6;
2008;Anual;108,8;112,4;
2009;Anual;109;112,3;
2010;Anual;109,6;112,7;
2011;Anual;110,7;113,3;
2012;Anual;111,9;114;
2013;Anual;113,3;114,5;
2014;Anual;114,1;114,8;
2015;Anual;114,9;115;
2016;Anual;114,7;114,9;
2017;Anual;114,9;114,8;
2018;Anual;114,9;114,7;
2019;Anual;114,8;114,7;
2020;Anual;114,5;114,5;
2021;Anual;114,5;114,4;
2022;Anual;114;114,1;
2023;Anual;113,9;114,1;
2024;Anual;112,7;113,5;
2025;Anual;112;113,1;
