El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Carabanchel;Madrid;
2005;Anual;20;16,3;
2006;Anual;22,1;17,9;
2007;Anual;23,4;18,4;
2008;Anual;25,3;19,8;
2009;Anual;26,5;20,8;
2010;Anual;26,8;21,1;
2011;Anual;26,8;21,1;
2012;Anual;26;20,4;
2013;Anual;25,5;20,2;
2014;Anual;24,9;19,5;
2015;Anual;24,8;19,3;
2016;Anual;25,6;19,7;
2017;Anual;26,5;20,1;
2018;Anual;28,06;21,03;
2019;Anual;29,86;22,16;
2020;Anual;31,94;23,61;
2021;Anual;32,81;24,32;
2022;Anual;33,02;24,62;
2023;Anual;35,31;26,3;
2024;Anual;38,13;28,76;
2025;Anual;39,67;30,22;
