El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Carabanchel;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;18,7;14,29;
2006;Anual;20,8;15,82;
2007;Anual;21,67;15,86;
2008;Anual;23,14;16,9;
2009;Anual;23,7;17,47;
2010;Anual;23,4;17,34;
2011;Anual;22,81;16,93;
2012;Anual;20,69;15,43;
2013;Anual;18,9;14,41;
2014;Anual;17,13;13,14;
2015;Anual;15,7;12,07;
2016;Anual;16,03;12,19;
2017;Anual;16,62;12,41;
2018;Anual;17,8;13,12;
2019;Anual;19,34;14,1;
2020;Anual;21,12;15,32;
2021;Anual;21,77;15,82;
2022;Anual;21,5;15,74;
2023;Anual;23,5;17,08;
2024;Anual;25,8;18,99;
2025;Anual;26,79;19,99;
