El municipio en cifras
Parados por sexo
Año;Periodos;Hombres;Mujeres;
2012;Diciembre;11.861;11.016;
2013;Enero;12.297;11.462;
2013;Febrero;12.555;11.720;
2013;Marzo;12.542;11.674;
2013;Abril;12.461;11.708;
2013;Mayo;12.198;11.527;
2013;Junio;11.856;11.317;
2013;Julio;11.662;11.330;
2013;Agosto;11.654;11.315;
2013;Septiembre;11.724;11.416;
2013;Octubre;12.090;11.519;
2013;Noviembre;12.045;11.512;
2013;Diciembre;11.784;11.089;
2014;Enero;12.009;11.382;
2014;Febrero;12.082;11.464;
2014;Marzo;11.985;11.450;
2014;Abril;11.657;11.255;
2014;Mayo;11.166;10.897;
2014;Junio;10.877;10.754;
2014;Julio;10.727;10.939;
2014;Agosto;10.721;10.946;
2014;Septiembre;10.828;11.061;
2014;Octubre;10.945;11.191;
2014;Noviembre;10.852;11.044;
2014;Diciembre;10.692;10.661;
2015;Enero;10.822;10.809;
2015;Febrero;10.929;11.018;
2015;Marzo;10.879;10.980;
2015;Abril;10.552;10.800;
2015;Mayo;10.095;10.404;
2015;Junio;9.684;10.264;
2015;Julio;9.397;10.261;
2015;Agosto;9.339;10.408;
2015;Septiembre;9.477;10.379;
2015;Octubre;9.660;10.524;
2015;Noviembre;9.591;10.504;
2015;Diciembre;9.476;10.185;
2016;Enero;9.653;10.293;
2016;Febrero;9.811;10.353;
2016;Marzo;9.793;10.392;
2016;Abril;9.628;10.248;
2016;Mayo;9.181;10.044;
2016;Junio;8.795;10.007;
2016;Julio;8.519;9.909;
2016;Agosto;8.397;10.057;
2016;Septiembre;8.505;9.967;
2016;Octubre;8.597;10.090;
2016;Noviembre;8.531;9.923;
2016;Diciembre;8.345;9.484;
2017;Enero;8.616;9.780;
2017;Febrero;8.642;9.874;
2017;Marzo;8.497;9.734;
2017;Abril;8.136;9.443;
2017;Mayo;7.889;9.267;
2017;Junio;7.540;9.369;
2017;Julio;7.409;9.429;
2017;Agosto;7.439;9.494;
2017;Septiembre;7.530;9.414;
2017;Octubre;7.590;9.395;
2017;Noviembre;7.513;9.304;
2017;Diciembre;7.509;8.997;
2018;Enero;7.808;9.369;
2018;Febrero;7.819;9.434;
2018;Marzo;7.880;9.460;
2018;Abril;7.675;9.307;
2018;Mayo;7.305;9.114;
2018;Junio;7.026;8.952;
2018;Julio;6.790;8.909;
2018;Agosto;6.838;9.013;
2018;Septiembre;6.911;8.907;
2018;Octubre;6.956;8.927;
2018;Noviembre;6.952;8.798;
2018;Diciembre;6.905;8.544;
2019;Enero;7.053;8.817;
2019;Febrero;7.311;8.973;
2019;Marzo;7.279;9.053;
2019;Abril;7.226;8.929;
2019;Mayo;6.913;8.812;
2019;Junio;6.700;8.830;
2019;Julio;6.552;8.847;
2019;Agosto;6.693;8.940;
2019;Septiembre;6.692;8.902;
2019;Octubre;6.864;9.007;
2019;Noviembre;6.886;8.906;
2019;Diciembre;6.932;8.538;
2020;Enero;7.117;8.867;
2020;Febrero;7.166;8.948;
2020;Marzo;7.494;9.159;
2020;Abril;8.671;10.074;
2020;Mayo;8.856;10.625;
2020;Junio;8.629;10.839;
2020;Julio;8.701;11.228;
2020;Agosto;8.745;11.365;
2020;Septiembre;8.777;11.280;
2020;Octubre;8.956;11.463;
2020;Noviembre;8.989;11.414;
2020;Diciembre;9.104;11.377;
2021;Enero;9.257;11.595;
2021;Febrero;9.462;11.756;
2021;Marzo;9.269;11.648;
2021;Abril;9.120;11.560;
2021;Mayo;8.793;11.350;
2021;Junio;8.535;11.164;
2021;Julio;8.309;10.960;
2021;Agosto;8.365;10.852;
2021;Septiembre;8.251;10.602;
2021;Octubre;7.999;10.429;
2021;Noviembre;7.830;10.200;
2021;Diciembre;7.365;9.396;
2022;Enero;7.115;9.155;
2022;Febrero;6.710;8.831;
2022;Marzo;6.685;8.772;
2022;Abril;6.381;8.524;
2022;Mayo;6.060;8.088;
2022;Junio;5.776;7.923;
2022;Julio;5.881;8.031;
2022;Agosto;5.881;8.031;
2022;Septiembre;6.011;8.123;
2022;Octubre;6.055;8.116;
2022;Noviembre;5.954;7.999;
2022;Diciembre;5.918;7.756;
2023;Enero;6.020;8.014;
2023;Febrero;6.201;8.209;
2023;Marzo;6.217;8.334;
2023;Abril;6.122;8.239;
2023;Mayo;5.922;8.169;
2023;Junio;5.808;8.136;
2023;Julio;5.699;7.980;
2023;Agosto;5.718;7.989;
2023;Septiembre;5.849;8.106;
2023;Octubre;5.962;8.159;
2023;Noviembre;5.784;7.977;
2023;Diciembre;5.806;7.814;
2024;Enero;6.011;8.180;
2024;Febrero;6.085;8.210;
2024;Marzo;6.153;8.312;
2024;Abril;5.932;8.092;
2024;Mayo;5.824;7.868;
2024;Junio;5.726;7.707;
2024;Julio;5.729;7.685;
2024;Agosto;5.673;7.708;
2024;Septiembre;5.709;7.752;
2024;Octubre;5.780;7.873;
2024;Noviembre;5.531;7.567;
2024;Diciembre;5.595;7.536;
2025;Enero;5.641;7.731;
2025;Febrero;5.741;7.761;
2025;Marzo;5.875;7.976;
2025;Abril;5.716;7.842;
2025;Mayo;5.460;7.594;
2025;Junio;5.315;7.464;
2025;Julio;5.231;7.466;
2025;Agosto;5.285;7.522;
2025;Septiembre;5.211;7.524;
2025;Octubre;5.344;7.667;
2025;Noviembre;5.319;7.471;
2025;Diciembre;5.294;7.326;
2026;Enero;5.358;7.467;
2026;Febrero;5.458;7.501;
