El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Carabanchel;Madrid;
2015;Enero;13,9;11,24;
2015;Febrero;14,08;11,3;
2015;Marzo;14,03;11,24;
2015;Abril;13,68;10,97;
2015;Mayo;13,13;10,62;
2015;Junio;12,75;10,33;
2015;Julio;12,54;10,25;
2015;Agosto;12,64;10,39;
2015;Septiembre;12,71;10,35;
2015;Octubre;12,86;10,4;
2015;Noviembre;12,78;10,27;
2015;Diciembre;12,52;10,07;
2016;Enero;12,69;10,23;
2016;Febrero;12,8;10,27;
2016;Marzo;12,83;10,22;
2016;Abril;12,61;10,02;
2016;Mayo;12,15;9,72;
2016;Junio;11,91;9,56;
2016;Julio;11,64;9,46;
2016;Agosto;11,69;9,57;
2016;Septiembre;11,68;9,46;
2016;Octubre;11,86;9,46;
2016;Noviembre;11,66;9,34;
2016;Diciembre;11,21;9,09;
2017;Enero;11,57;9,29;
2017;Febrero;11,64;9,35;
2017;Marzo;11,42;9,2;
2017;Abril;11,02;8,95;
2017;Mayo;10,74;8,74;
2017;Junio;10,54;8,6;
2017;Julio;10,46;8,63;
2017;Agosto;10,53;8,74;
2017;Septiembre;10,53;8,7;
2017;Octubre;10,53;8,7;
2017;Noviembre;10,36;8,48;
2017;Diciembre;10,17;8,28;
2018;Enero;10,55;8,53;
2018;Febrero;10,57;8,57;
2018;Marzo;10,59;8,48;
2018;Abril;10,38;8,3;
2018;Mayo;9,99;8,05;
2018;Junio;9,71;7,85;
2018;Julio;9,53;7,85;
2018;Agosto;9,6;7,91;
2018;Septiembre;9,55;7,87;
2018;Octubre;9,57;7,81;
2018;Noviembre;9,46;7,67;
2018;Diciembre;9,24;7,48;
2019;Enero;9,47;7,73;
2019;Febrero;9,72;7,82;
2019;Marzo;9,74;7,8;
2019;Abril;9,61;7,66;
2019;Mayo;9,31;7,48;
2019;Junio;9,15;7,35;
2019;Julio;9,04;7,37;
2019;Agosto;9,14;7,49;
2019;Septiembre;9,08;7,43;
2019;Octubre;9,26;7,52;
2019;Noviembre;9,15;7,45;
2019;Diciembre;8,92;7,3;
2020;Enero;9,18;7,54;
2020;Febrero;9,24;7,57;
2020;Marzo;9,52;7,8;
2020;Abril;10,72;8,74;
2020;Mayo;11,15;9,14;
2020;Junio;11,13;9,16;
2020;Julio;11,43;9,37;
2020;Agosto;11,54;9,5;
2020;Septiembre;11,46;9,36;
2020;Octubre;11,69;9,51;
2020;Noviembre;11,66;9,51;
2020;Diciembre;11,72;9,54;
2021;Enero;11,93;9,71;
2021;Febrero;12,16;9,87;
2021;Marzo;12,1;9,83;
2021;Abril;11,93;9,72;
2021;Mayo;11,64;9,48;
2021;Junio;11,41;9,29;
2021;Julio;11,12;9,14;
2021;Agosto;11,1;9,17;
2021;Septiembre;10,88;8,95;
2021;Octubre;10,65;8,71;
2021;Noviembre;10,42;8,51;
2021;Diciembre;9,64;7,91;
2022;Enero;9,42;7,74;
2022;Febrero;8,96;7,33;
2022;Marzo;8,9;7,28;
2022;Abril;8,51;7,01;
2022;Mayo;8,04;6,68;
2022;Junio;7,73;6,5;
2022;Julio;7,84;6,56;
2022;Agosto;7,89;6,6;
2022;Septiembre;7,94;6,6;
2022;Octubre;7,93;6,57;
2022;Noviembre;7,78;6,42;
2022;Diciembre;7,67;6,33;
2023;Enero;7,87;6,56;
2023;Febrero;8,08;6,67;
2023;Marzo;8,16;6,72;
2023;Abril;8,05;6,59;
2023;Mayo;7,7;6,38;
2023;Junio;7,62;6,32;
2023;Julio;7,38;6,2;
2023;Agosto;7,37;6,23;
2023;Septiembre;7,5;6,26;
2023;Octubre;7,54;6,23;
2023;Noviembre;7,35;6,13;
2023;Diciembre;7,2;6,02;
2024;Enero;7,48;6,23;
2024;Febrero;7,49;6,22;
2024;Marzo;7,56;6,24;
2024;Abril;7,3;6,07;
2024;Mayo;7,1;5,94;
2024;Junio;6,95;5,84;
2024;Julio;6,91;5,83;
2024;Agosto;6,9;5,87;
2024;Septiembre;6,92;5,87;
2024;Octubre;6,98;5,85;
2024;Noviembre;6,87;5,76;
2024;Diciembre;6,71;5,68;
2025;Enero;6,85;5,75;
2025;Febrero;6,9;5,84;
2025;Marzo;7,08;5,89;
2025;Abril;6,93;5,82;
2025;Mayo;6,7;5,69;
2025;Junio;6,58;5,57;
2025;Julio;6,53;5,59;
2025;Agosto;6,61;5,7;
2025;Septiembre;6,59;5,66;
2025;Octubre;6,72;5,71;
2025;Noviembre;6,6;5,64;
2025;Diciembre;6,52;5,61;
2026;Enero;6,63;5,69;
2026;Febrero;6,69;5,76;
