El municipio en cifras
Población
Año;Periodos;Carabanchel;
1987;Anual;242887;
1988;Anual;241208;
1989;Anual;240630;
1990;Anual;240854;
1991;Anual;234220;
1992;Anual;234215;
1993;Anual;233935;
1994;Anual;233297;
1995;Anual;230622;
1996;Anual;217868;
1997;Anual;217583;
1998;Anual;217298;
1999;Anual;215390;
2000;Anual;213405;
2001;Anual;220198;
2002;Anual;226138;
2003;Anual;233602;
2004;Anual;237093;
2005;Anual;239782;
2006;Anual;246076;
2007;Anual;248350;
2008;Anual;253678;
2009;Anual;256973;
2010;Anual;256645;
2011;Anual;254991;
2012;Anual;250800;
2013;Anual;247404;
2014;Anual;242780;
2015;Anual;240230;
2016;Anual;242000;
2017;Anual;243998;
2018;Anual;248220;
2019;Anual;253040;
2020;Anual;260196;
2021;Anual;258633;
2022;Anual;255514;
2023;Anual;262339;
2024;Anual;274406;
2025;Anual;280685;
