El municipio en cifras
Parados registrados
Año;Periodos;Carabanchel;
2012;Diciembre;22877;
2013;Enero;23759;
2013;Febrero;24275;
2013;Marzo;24216;
2013;Abril;24169;
2013;Mayo;23725;
2013;Junio;23173;
2013;Julio;22992;
2013;Agosto;22969;
2013;Septiembre;23140;
2013;Octubre;23609;
2013;Noviembre;23557;
2013;Diciembre;22873;
2014;Enero;23391;
2014;Febrero;23546;
2014;Marzo;23435;
2014;Abril;22912;
2014;Mayo;22063;
2014;Junio;21631;
2014;Julio;21666;
2014;Agosto;21667;
2014;Septiembre;21889;
2014;Octubre;22136;
2014;Noviembre;21896;
2014;Diciembre;21353;
2015;Enero;21631;
2015;Febrero;21947;
2015;Marzo;21859;
2015;Abril;21352;
2015;Mayo;20499;
2015;Junio;19948;
2015;Julio;19658;
2015;Agosto;19747;
2015;Septiembre;19856;
2015;Octubre;20184;
2015;Noviembre;20095;
2015;Diciembre;19661;
2016;Enero;19946;
2016;Febrero;20164;
2016;Marzo;20185;
2016;Abril;19876;
2016;Mayo;19225;
2016;Junio;18802;
2016;Julio;18428;
2016;Agosto;18454;
2016;Septiembre;18472;
2016;Octubre;18687;
2016;Noviembre;18454;
2016;Diciembre;17829;
2017;Enero;18396;
2017;Febrero;18516;
2017;Marzo;18231;
2017;Abril;17579;
2017;Mayo;17156;
2017;Junio;16909;
2017;Julio;16838;
2017;Agosto;16933;
2017;Septiembre;16944;
2017;Octubre;16985;
2017;Noviembre;16817;
2017;Diciembre;16506;
2018;Enero;17177;
2018;Febrero;17253;
2018;Marzo;17340;
2018;Abril;16982;
2018;Mayo;16419;
2018;Junio;15978;
2018;Julio;15699;
2018;Agosto;15851;
2018;Septiembre;15818;
2018;Octubre;15883;
2018;Noviembre;15750;
2018;Diciembre;15449;
2019;Enero;15870;
2019;Febrero;16284;
2019;Marzo;16332;
2019;Abril;16155;
2019;Mayo;15725;
2019;Junio;15530;
2019;Julio;15399;
2019;Agosto;15633;
2019;Septiembre;15594;
2019;Octubre;15871;
2019;Noviembre;15792;
2019;Diciembre;15470;
2020;Enero;15984;
2020;Febrero;16114;
2020;Marzo;16653;
2020;Abril;18745;
2020;Mayo;19481;
2020;Junio;19468;
2020;Julio;19929;
2020;Agosto;20110;
2020;Septiembre;20057;
2020;Octubre;20419;
2020;Noviembre;20403;
2020;Diciembre;20481;
2021;Enero;20852;
2021;Febrero;21218;
2021;Marzo;20917;
2021;Abril;20680;
2021;Mayo;20143;
2021;Junio;19699;
2021;Julio;19269;
2021;Agosto;19217;
2021;Septiembre;18853;
2021;Octubre;18428;
2021;Noviembre;18030;
2021;Diciembre;16761;
2022;Enero;16270;
2022;Febrero;15541;
2022;Marzo;15457;
2022;Abril;14905;
2022;Mayo;14148;
2022;Junio;13699;
2022;Julio;13912;
2022;Agosto;13912;
2022;Septiembre;14134;
2022;Octubre;14171;
2022;Noviembre;13953;
2022;Diciembre;13674;
2023;Enero;14034;
2023;Febrero;14410;
2023;Marzo;14551;
2023;Abril;14361;
2023;Mayo;14091;
2023;Junio;13944;
2023;Julio;13679;
2023;Agosto;13707;
2023;Septiembre;13955;
2023;Octubre;14121;
2023;Noviembre;13761;
2023;Diciembre;13620;
2024;Enero;14191;
2024;Febrero;14295;
2024;Marzo;14465;
2024;Abril;14024;
2024;Mayo;13692;
2024;Junio;13433;
2024;Julio;13414;
2024;Agosto;13381;
2024;Septiembre;13461;
2024;Octubre;13653;
2024;Noviembre;13098;
2024;Diciembre;13131;
2025;Enero;13372;
2025;Febrero;13502;
2025;Marzo;13851;
2025;Abril;13558;
2025;Mayo;13054;
2025;Junio;12779;
2025;Julio;12697;
2025;Agosto;12807;
2025;Septiembre;12735;
2025;Octubre;13011;
2025;Noviembre;12790;
2025;Diciembre;12620;
2026;Enero;12825;
2026;Febrero;12959;
