El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Carabanchel;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;15,26;71;
2011;Anual;15,95;69,87;
2012;Anual;15,01;70,49;
2013;Anual;15,31;73;
2014;Anual;14,99;73,66;
2015;Anual;16,37;76,17;
2016;Anual;17,45;79,58;
2017;Anual;17,62;81,08;
2018;Anual;18,25;83,22;
2019;Anual;18,47;85,23;
2020;Anual;17,5;85,5;
2021;Anual;16,95;83,51;
2022;Anual;17,86;88,8;
2023;Anual;18,53;91,68;
