El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Usera;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;1.534;3.468;5.002;42.053;92.109;134.162
2; 80 - 84;1.295;2.210;3.505;42.412;68.809;111.221
3; 75 - 79;1.679;2.561;4.240;53.602;80.108;133.710
4; 70 - 74;2.126;2.777;4.903;60.418;83.243;143.661
5; 65 - 69;3.217;3.905;7.122;80.493;102.569;183.062
6; 60 - 64;4.403;5.177;9.580;102.853;122.998;225.851
7; 55 - 59;5.379;5.974;11.353;116.074;132.847;248.921
8; 50 - 54;6.102;6.645;12.747;126.476;138.636;265.112
9; 45 - 49;5.999;6.645;12.644;130.316;139.236;269.552
10; 40 - 44;5.571;5.959;11.530;122.467;127.825;250.292
11; 35 - 39;5.418;5.582;11.000;122.464;125.667;248.131
12; 30 - 34;5.869;5.779;11.648;133.726;137.801;271.527
13; 25 - 29;5.696;5.634;11.330;124.072;132.589;256.661
14; 20 - 24;5.159;4.876;10.035;100.514;102.254;202.768
15; 15 - 19;4.314;4.134;8.448;84.747;81.427;166.174
16; 10 - 14;3.661;3.480;7.141;77.909;75.033;152.942
17; 5 - 9;3.252;3.128;6.380;71.169;68.166;139.335
18; 0 - 4;2.790;2.582;5.372;63.996;60.839;124.835
