El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Usera;Madrid;
2005;Anual;14,45;13,59;
2006;Anual;14,55;13,6;
2007;Anual;14,89;13,72;
2008;Anual;15,23;13,87;
2009;Anual;15,64;14,05;
2010;Anual;15,84;14,19;
2011;Anual;16,03;14,29;
2012;Anual;16,2;14,4;
2013;Anual;16,33;14,46;
2014;Anual;16,31;14,48;
2015;Anual;16,37;14,5;
2016;Anual;16,31;14,51;
2017;Anual;16,09;14,49;
2018;Anual;15,86;14,37;
2019;Anual;15,63;14,22;
2020;Anual;15,21;13,98;
2021;Anual;14,87;13,76;
2022;Anual;14,62;13,55;
2023;Anual;14,21;13,29;
2024;Anual;13,83;13,03;
2025;Anual;13,31;12,74;
