El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Usera;Madrid;
2005;Anual;66,3;67,8;
2006;Anual;66,5;67,7;
2007;Anual;66,6;67,5;
2008;Anual;66,8;67,5;
2009;Anual;66,7;67,4;
2010;Anual;66,6;67;
2011;Anual;66,3;66,7;
2012;Anual;66;66,2;
2013;Anual;65,7;65,9;
2014;Anual;65,4;65,3;
2015;Anual;65,4;65;
2016;Anual;65,7;65;
2017;Anual;66,2;65,1;
2018;Anual;66,7;65,2;
2019;Anual;67,29;65,53;
2020;Anual;68,09;65,96;
2021;Anual;68,66;66,21;
2022;Anual;68,69;66,17;
2023;Anual;69,25;66,51;
2024;Anual;69,95;67,01;
2025;Anual;70,6;67,25;
