El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Usera;Madrid;
2005;Anual;24,28;26,61;
2006;Anual;25,41;27,11;
2007;Anual;27,19;28,12;
2008;Anual;28,73;28,96;
2009;Anual;30,08;29,9;
2010;Anual;31,72;30,78;
2011;Anual;33,57;31,72;
2012;Anual;35,37;32,61;
2013;Anual;36,8;33,51;
2014;Anual;38,17;34,33;
2015;Anual;39,28;35,02;
2016;Anual;40,18;35,49;
2017;Anual;41,08;36,1;
2018;Anual;41,32;36,19;
2019;Anual;40,6;36;
2020;Anual;39,2;35,2;
2021;Anual;38,7;35,4;
2022;Anual;37,3;35;
2023;Anual;35,9;34,59;
2024;Anual;35,2;34,7;
2025;Anual;34,32;34,76;
