El municipio en cifras
Índice de feminidad
Año;Periodos;Usera;Madrid;
2005;Anual;108,1;112,8;
2006;Anual;107,8;112,5;
2007;Anual;108,2;112,6;
2008;Anual;107,4;112,4;
2009;Anual;106,9;112,3;
2010;Anual;107,4;112,7;
2011;Anual;108,3;113,3;
2012;Anual;110,1;114;
2013;Anual;111,3;114,5;
2014;Anual;112;114,8;
2015;Anual;112,5;115;
2016;Anual;112,2;114,9;
2017;Anual;112,3;114,8;
2018;Anual;112,1;114,7;
2019;Anual;112,1;114,7;
2020;Anual;112,2;114,5;
2021;Anual;111,9;114,4;
2022;Anual;111,6;114,1;
2023;Anual;111,4;114,1;
2024;Anual;110,6;113,5;
2025;Anual;109,6;113,1;
