El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Usera;Madrid;
2005;Anual;19,3;16,3;
2006;Anual;21,8;17,9;
2007;Anual;23,2;18,4;
2008;Anual;25,6;19,8;
2009;Anual;26,9;20,8;
2010;Anual;27,8;21,1;
2011;Anual;27,7;21,1;
2012;Anual;27,1;20,4;
2013;Anual;26,7;20,2;
2014;Anual;26,4;19,5;
2015;Anual;26,5;19,3;
2016;Anual;27,6;19,7;
2017;Anual;28,8;20,1;
2018;Anual;30,53;21,03;
2019;Anual;32,21;22,16;
2020;Anual;34,27;23,61;
2021;Anual;35,09;24,32;
2022;Anual;35,03;24,62;
2023;Anual;36,98;26,3;
2024;Anual;39,87;28,76;
2025;Anual;41,42;30,22;
