El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Usera;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;18,27;14,29;
2006;Anual;20,75;15,82;
2007;Anual;21,72;15,86;
2008;Anual;23,57;16,9;
2009;Anual;24,35;17,47;
2010;Anual;24,53;17,34;
2011;Anual;23,84;16,93;
2012;Anual;22,09;15,43;
2013;Anual;20,47;14,41;
2014;Anual;18,96;13,14;
2015;Anual;17,81;12,07;
2016;Anual;18,33;12,19;
2017;Anual;19,19;12,41;
2018;Anual;20,58;13,12;
2019;Anual;22,03;14,1;
2020;Anual;23,87;15,32;
2021;Anual;24,58;15,82;
2022;Anual;23,93;15,74;
2023;Anual;25,41;17,08;
2024;Anual;27,96;18,99;
2025;Anual;29,17;19,99;
