El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Usera;Madrid;
2015;Enero;14,64;11,24;
2015;Febrero;14,74;11,3;
2015;Marzo;14,78;11,24;
2015;Abril;14,29;10,97;
2015;Mayo;13,78;10,62;
2015;Junio;13,52;10,33;
2015;Julio;13,28;10,25;
2015;Agosto;13,34;10,39;
2015;Septiembre;13,62;10,35;
2015;Octubre;13,69;10,4;
2015;Noviembre;13,54;10,27;
2015;Diciembre;13,21;10,07;
2016;Enero;13,41;10,23;
2016;Febrero;13,52;10,27;
2016;Marzo;13,41;10,22;
2016;Abril;13,03;10,02;
2016;Mayo;12,58;9,72;
2016;Junio;12,19;9,56;
2016;Julio;11,93;9,46;
2016;Agosto;11,97;9,57;
2016;Septiembre;12,02;9,46;
2016;Octubre;12,08;9,46;
2016;Noviembre;12,05;9,34;
2016;Diciembre;11,6;9,09;
2017;Enero;11,8;9,29;
2017;Febrero;11,89;9,35;
2017;Marzo;11,75;9,2;
2017;Abril;11,5;8,95;
2017;Mayo;11,19;8,74;
2017;Junio;11,19;8,6;
2017;Julio;10,94;8,63;
2017;Agosto;10,97;8,74;
2017;Septiembre;11,05;8,7;
2017;Octubre;11,05;8,7;
2017;Noviembre;10,85;8,48;
2017;Diciembre;10,53;8,28;
2018;Enero;10,78;8,53;
2018;Febrero;10,88;8,57;
2018;Marzo;10,86;8,48;
2018;Abril;10,68;8,3;
2018;Mayo;10,32;8,05;
2018;Junio;10,07;7,85;
2018;Julio;10;7,85;
2018;Agosto;10,13;7,91;
2018;Septiembre;10,22;7,87;
2018;Octubre;10,15;7,81;
2018;Noviembre;9,96;7,67;
2018;Diciembre;9,57;7,48;
2019;Enero;10,12;7,73;
2019;Febrero;10,41;7,82;
2019;Marzo;10,3;7,8;
2019;Abril;10,04;7,66;
2019;Mayo;9,78;7,48;
2019;Junio;9,53;7,35;
2019;Julio;9,42;7,37;
2019;Agosto;9,54;7,49;
2019;Septiembre;9,61;7,43;
2019;Octubre;9,69;7,52;
2019;Noviembre;9,55;7,45;
2019;Diciembre;9,35;7,3;
2020;Enero;9,69;7,54;
2020;Febrero;9,76;7,57;
2020;Marzo;10,17;7,8;
2020;Abril;11,52;8,74;
2020;Mayo;11,97;9,14;
2020;Junio;11,91;9,16;
2020;Julio;12,06;9,37;
2020;Agosto;12,16;9,5;
2020;Septiembre;12,02;9,36;
2020;Octubre;12,37;9,51;
2020;Noviembre;12,44;9,51;
2020;Diciembre;12,53;9,54;
2021;Enero;12,86;9,71;
2021;Febrero;13,15;9,87;
2021;Marzo;13,17;9,83;
2021;Abril;13;9,72;
2021;Mayo;12,67;9,48;
2021;Junio;12,23;9,29;
2021;Julio;11,92;9,14;
2021;Agosto;11,85;9,17;
2021;Septiembre;11,63;8,95;
2021;Octubre;11,39;8,71;
2021;Noviembre;11,15;8,51;
2021;Diciembre;10,28;7,91;
2022;Enero;10,04;7,74;
2022;Febrero;9,49;7,33;
2022;Marzo;9,5;7,28;
2022;Abril;9,09;7,01;
2022;Mayo;8,71;6,68;
2022;Junio;8,46;6,5;
2022;Julio;8,46;6,56;
2022;Agosto;8,41;6,6;
2022;Septiembre;8,52;6,6;
2022;Octubre;8,54;6,57;
2022;Noviembre;8,33;6,42;
2022;Diciembre;8,19;6,33;
2023;Enero;8,56;6,56;
2023;Febrero;8,74;6,67;
2023;Marzo;8,88;6,72;
2023;Abril;8,66;6,59;
2023;Mayo;8,41;6,38;
2023;Junio;8,31;6,32;
2023;Julio;8,02;6,2;
2023;Agosto;7,96;6,23;
2023;Septiembre;7,95;6,26;
2023;Octubre;7,99;6,23;
2023;Noviembre;7,88;6,13;
2023;Diciembre;7,67;6,02;
2024;Enero;7,93;6,23;
2024;Febrero;7,98;6,22;
2024;Marzo;8,07;6,24;
2024;Abril;7,9;6,07;
2024;Mayo;7,62;5,94;
2024;Junio;7,43;5,84;
2024;Julio;7,37;5,83;
2024;Agosto;7,46;5,87;
2024;Septiembre;7,45;5,87;
2024;Octubre;7,44;5,85;
2024;Noviembre;7,34;5,76;
2024;Diciembre;7,28;5,68;
2025;Enero;7,37;5,75;
2025;Febrero;7,49;5,84;
2025;Marzo;7,47;5,89;
2025;Abril;7,35;5,82;
2025;Mayo;7,14;5,69;
2025;Junio;6,92;5,57;
2025;Julio;6,86;5,59;
2025;Agosto;6,94;5,7;
2025;Septiembre;6,93;5,66;
2025;Octubre;6,99;5,71;
2025;Noviembre;6,93;5,64;
2025;Diciembre;6,86;5,61;
2026;Enero;6,99;5,69;
2026;Febrero;7,13;5,76;
