El municipio en cifras
Población
Año;Periodos;Usera;
1987;Anual;125620;
1988;Anual;125399;
1989;Anual;125718;
1990;Anual;125472;
1991;Anual;120582;
1992;Anual;120664;
1993;Anual;121188;
1994;Anual;120904;
1995;Anual;119833;
1996;Anual;113706;
1997;Anual;113703;
1998;Anual;113699;
1999;Anual;112650;
2000;Anual;112180;
2001;Anual;116037;
2002;Anual;121130;
2003;Anual;124665;
2004;Anual;129015;
2005;Anual;132145;
2006;Anual;135876;
2007;Anual;136391;
2008;Anual;139594;
2009;Anual;141189;
2010;Anual;141755;
2011;Anual;140263;
2012;Anual;138135;
2013;Anual;136063;
2014;Anual;133655;
2015;Anual;132744;
2016;Anual;134015;
2017;Anual;134791;
2018;Anual;136978;
2019;Anual;139501;
2020;Anual;142894;
2021;Anual;142454;
2022;Anual;140808;
2023;Anual;142746;
2024;Anual;149113;
2025;Anual;153980;
