El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Usera;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;4,12;8;
2011;Anual;4,07;8,38;
2012;Anual;3,62;8,52;
2013;Anual;3,82;9;
2014;Anual;4,2;8,85;
2015;Anual;4,48;9,26;
2016;Anual;4,59;9,39;
2017;Anual;4,79;9,54;
2018;Anual;3,77;9,62;
2019;Anual;5,19;8,96;
2020;Anual;5,34;8,95;
2021;Anual;5,09;8,87;
2022;Anual;5,12;9,02;
2023;Anual;5,21;9,8;
2024;Anual;;;
2025;Anual;;9;
