El municipio en cifras
Parados registrados
Año;Periodos;Usera;
2012;Diciembre;13398;
2013;Enero;13859;
2013;Febrero;14011;
2013;Marzo;14126;
2013;Abril;14084;
2013;Mayo;13777;
2013;Junio;13593;
2013;Julio;13321;
2013;Agosto;13297;
2013;Septiembre;13526;
2013;Octubre;13737;
2013;Noviembre;13772;
2013;Diciembre;13231;
2014;Enero;13512;
2014;Febrero;13639;
2014;Marzo;13534;
2014;Abril;13224;
2014;Mayo;12796;
2014;Junio;12441;
2014;Julio;12373;
2014;Agosto;12458;
2014;Septiembre;12687;
2014;Octubre;12814;
2014;Noviembre;12653;
2014;Diciembre;12392;
2015;Enero;12730;
2015;Febrero;12860;
2015;Marzo;12892;
2015;Abril;12471;
2015;Mayo;12029;
2015;Junio;11823;
2015;Julio;11660;
2015;Agosto;11709;
2015;Septiembre;11952;
2015;Octubre;12051;
2015;Noviembre;11964;
2015;Diciembre;11666;
2016;Enero;11849;
2016;Febrero;11980;
2016;Marzo;11863;
2016;Abril;11557;
2016;Mayo;11213;
2016;Junio;10840;
2016;Julio;10643;
2016;Agosto;10646;
2016;Septiembre;10716;
2016;Octubre;10714;
2016;Noviembre;10744;
2016;Diciembre;10394;
2017;Enero;10566;
2017;Febrero;10664;
2017;Marzo;10569;
2017;Abril;10330;
2017;Mayo;10070;
2017;Junio;10109;
2017;Julio;9904;
2017;Agosto;9918;
2017;Septiembre;10016;
2017;Octubre;10064;
2017;Noviembre;9920;
2017;Diciembre;9624;
2018;Enero;9886;
2018;Febrero;9995;
2018;Marzo;10005;
2018;Abril;9838;
2018;Mayo;9552;
2018;Junio;9336;
2018;Julio;9276;
2018;Agosto;9417;
2018;Septiembre;9521;
2018;Octubre;9469;
2018;Noviembre;9323;
2018;Diciembre;9004;
2019;Enero;9527;
2019;Febrero;9802;
2019;Marzo;9707;
2019;Abril;9489;
2019;Mayo;9293;
2019;Junio;9095;
2019;Julio;9034;
2019;Agosto;9178;
2019;Septiembre;9286;
2019;Octubre;9335;
2019;Noviembre;9245;
2019;Diciembre;9095;
2020;Enero;9461;
2020;Febrero;9529;
2020;Marzo;9973;
2020;Abril;11297;
2020;Mayo;11725;
2020;Junio;11687;
2020;Julio;11804;
2020;Agosto;11898;
2020;Septiembre;11816;
2020;Octubre;12133;
2020;Noviembre;12239;
2020;Diciembre;12328;
2021;Enero;12652;
2021;Febrero;12912;
2021;Marzo;12785;
2021;Abril;12665;
2021;Mayo;12340;
2021;Junio;11885;
2021;Julio;11601;
2021;Agosto;11526;
2021;Septiembre;11324;
2021;Octubre;11092;
2021;Noviembre;10846;
2021;Diciembre;10047;
2022;Enero;9743;
2022;Febrero;9239;
2022;Marzo;9253;
2022;Abril;8899;
2022;Mayo;8573;
2022;Junio;8372;
2022;Julio;8379;
2022;Agosto;8379;
2022;Septiembre;8446;
2022;Octubre;8487;
2022;Noviembre;8299;
2022;Diciembre;8097;
2023;Enero;8465;
2023;Febrero;8639;
2023;Marzo;8780;
2023;Abril;8564;
2023;Mayo;8498;
2023;Junio;8396;
2023;Julio;8204;
2023;Agosto;8183;
2023;Septiembre;8168;
2023;Octubre;8269;
2023;Noviembre;8149;
2023;Diciembre;8011;
2024;Enero;8314;
2024;Febrero;8401;
2024;Marzo;8522;
2024;Abril;8368;
2024;Mayo;8108;
2024;Junio;7925;
2024;Julio;7901;
2024;Agosto;7995;
2024;Septiembre;8009;
2024;Octubre;8067;
2024;Noviembre;8237;
2024;Diciembre;7940;
2025;Enero;8045;
2025;Febrero;8190;
2025;Marzo;8172;
2025;Abril;8038;
2025;Mayo;7777;
2025;Junio;7513;
2025;Julio;7453;
2025;Agosto;7518;
2025;Septiembre;7493;
2025;Octubre;7577;
2025;Noviembre;7518;
2025;Diciembre;7455;
2026;Enero;7596;
2026;Febrero;7751;
