El municipio en cifras
Población
Año;Periodos;Puente de Vallecas;
1987;Anual;226135;
1988;Anual;228667;
1989;Anual;228945;
1990;Anual;229891;
1991;Anual;224698;
1992;Anual;225282;
1993;Anual;227338;
1994;Anual;228559;
1995;Anual;230313;
1996;Anual;224882;
1997;Anual;226256;
1998;Anual;227629;
1999;Anual;226955;
2000;Anual;225421;
2001;Anual;228548;
2002;Anual;232520;
2003;Anual;237899;
2004;Anual;240917;
2005;Anual;241661;
2006;Anual;243474;
2007;Anual;241907;
2008;Anual;244151;
2009;Anual;245180;
2010;Anual;244038;
2011;Anual;240988;
2012;Anual;237612;
2013;Anual;233240;
2014;Anual;228739;
2015;Anual;226135;
2016;Anual;227195;
2017;Anual;227595;
2018;Anual;230488;
2019;Anual;234770;
2020;Anual;240867;
2021;Anual;239057;
2022;Anual;235638;
2023;Anual;241603;
2024;Anual;253048;
2025;Anual;260178;
