El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Puente de Vallecas;Madrid;
2005;Anual;15,2;13,59;
2006;Anual;15,02;13,6;
2007;Anual;15,03;13,72;
2008;Anual;14,99;13,87;
2009;Anual;15,05;14,05;
2010;Anual;15,03;14,19;
2011;Anual;14,99;14,29;
2012;Anual;14,95;14,4;
2013;Anual;14,84;14,46;
2014;Anual;14,65;14,48;
2015;Anual;14,55;14,5;
2016;Anual;14,47;14,51;
2017;Anual;14,26;14,49;
2018;Anual;14,09;14,37;
2019;Anual;13,94;14,22;
2020;Anual;13,73;13,98;
2021;Anual;13,56;13,76;
2022;Anual;13,43;13,55;
2023;Anual;13,34;13,29;
2024;Anual;13,24;13,03;
2025;Anual;13,01;12,74;
