El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Puente de Vallecas;Madrid;
2005;Anual;66,6;67,8;
2006;Anual;66,7;67,7;
2007;Anual;66,9;67,5;
2008;Anual;67,4;67,5;
2009;Anual;67,4;67,4;
2010;Anual;67,3;67;
2011;Anual;67,1;66,7;
2012;Anual;67;66,2;
2013;Anual;66,8;65,9;
2014;Anual;66,7;65,3;
2015;Anual;66,6;65;
2016;Anual;66,9;65;
2017;Anual;67,3;65,1;
2018;Anual;67,7;65,2;
2019;Anual;68,2;65,53;
2020;Anual;68,72;65,96;
2021;Anual;68,99;66,21;
2022;Anual;68,8;66,17;
2023;Anual;69,07;66,51;
2024;Anual;69,45;67,01;
2025;Anual;69,63;67,25;
