El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Puente de Vallecas;Madrid;
2005;Anual;18,25;18,62;
2006;Anual;18,27;18,74;
2007;Anual;18,06;18,76;
2008;Anual;17,66;18,58;
2009;Anual;17,53;18,58;
2010;Anual;17,69;18,77;
2011;Anual;17,86;19,04;
2012;Anual;18,04;19,36;
2013;Anual;18,31;19,67;
2014;Anual;18,68;20,18;
2015;Anual;18,82;20,49;
2016;Anual;18,6;20,46;
2017;Anual;18,43;20,46;
2018;Anual;18,21;20,39;
2019;Anual;17,86;20,26;
2020;Anual;17,55;20,06;
2021;Anual;17,45;20,03;
2022;Anual;17,76;20,28;
2023;Anual;17,59;20,2;
2024;Anual;17,3;19,97;
2025;Anual;17,37;20,01;
