El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Puente de Vallecas;Madrid;
2005;Anual;23,43;26,61;
2006;Anual;24,29;27,11;
2007;Anual;25,95;28,12;
2008;Anual;27,33;28,96;
2009;Anual;28,77;29,9;
2010;Anual;30,71;30,78;
2011;Anual;32,39;31,72;
2012;Anual;33,93;32,61;
2013;Anual;35,72;33,51;
2014;Anual;37,18;34,33;
2015;Anual;37,94;35,02;
2016;Anual;38,61;35,49;
2017;Anual;39,38;36,1;
2018;Anual;39,63;36,19;
2019;Anual;39,3;36;
2020;Anual;38,1;35,2;
2021;Anual;37,9;35,4;
2022;Anual;36,5;35;
2023;Anual;;34,59;
2024;Anual;33,8;34,7;
2025;Anual;32,74;34,76;
