El municipio en cifras
Índice de feminidad
Año;Periodos;Puente de Vallecas;Madrid;
2005;Anual;106,6;112,8;
2006;Anual;106,5;112,5;
2007;Anual;106,7;112,6;
2008;Anual;106,5;112,4;
2009;Anual;106,5;112,3;
2010;Anual;107,3;112,7;
2011;Anual;108,1;113,3;
2012;Anual;109,1;114;
2013;Anual;109,6;114,5;
2014;Anual;110,2;114,8;
2015;Anual;110,6;115;
2016;Anual;110,8;114,9;
2017;Anual;110,9;114,8;
2018;Anual;111,4;114,7;
2019;Anual;111,2;114,7;
2020;Anual;110,9;114,5;
2021;Anual;110,9;114,4;
2022;Anual;110,9;114,1;
2023;Anual;110,9;114,1;
2024;Anual;109,9;113,5;
2025;Anual;109;113,1;
