El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Puente de Vallecas;Madrid;
2015;Enero;16,16;11,24;
2015;Febrero;16,26;11,3;
2015;Marzo;16,23;11,24;
2015;Abril;15,83;10,97;
2015;Mayo;15,38;10,62;
2015;Junio;14,99;10,33;
2015;Julio;14,7;10,25;
2015;Agosto;14,81;10,39;
2015;Septiembre;14,95;10,35;
2015;Octubre;15,11;10,4;
2015;Noviembre;15;10,27;
2015;Diciembre;14,65;10,07;
2016;Enero;14,91;10,23;
2016;Febrero;14,98;10,27;
2016;Marzo;14,92;10,22;
2016;Abril;14,58;10,02;
2016;Mayo;14,16;9,72;
2016;Junio;14;9,56;
2016;Julio;13,65;9,46;
2016;Agosto;13,69;9,57;
2016;Septiembre;13,7;9,46;
2016;Octubre;13,72;9,46;
2016;Noviembre;13,48;9,34;
2016;Diciembre;13,07;9,09;
2017;Enero;13,33;9,29;
2017;Febrero;13,51;9,35;
2017;Marzo;13,32;9,2;
2017;Abril;12,95;8,95;
2017;Mayo;12,6;8,74;
2017;Junio;12,53;8,6;
2017;Julio;12,43;8,63;
2017;Agosto;12,56;8,74;
2017;Septiembre;12,63;8,7;
2017;Octubre;12,63;8,7;
2017;Noviembre;12,4;8,48;
2017;Diciembre;11,97;8,28;
2018;Enero;12,4;8,53;
2018;Febrero;12,49;8,57;
2018;Marzo;12,39;8,48;
2018;Abril;12,06;8,3;
2018;Mayo;11,72;8,05;
2018;Junio;11,49;7,85;
2018;Julio;11,35;7,85;
2018;Agosto;11,33;7,91;
2018;Septiembre;11,34;7,87;
2018;Octubre;11,36;7,81;
2018;Noviembre;11,2;7,67;
2018;Diciembre;10,91;7,48;
2019;Enero;11,27;7,73;
2019;Febrero;11,4;7,82;
2019;Marzo;11,39;7,8;
2019;Abril;11,24;7,66;
2019;Mayo;10,95;7,48;
2019;Junio;10,68;7,35;
2019;Julio;10,89;7,37;
2019;Agosto;10,62;7,49;
2019;Septiembre;10,46;7,43;
2019;Octubre;10,56;7,52;
2019;Noviembre;10,45;7,45;
2019;Diciembre;10,17;7,3;
2020;Enero;10,56;7,54;
2020;Febrero;10,71;7,57;
2020;Marzo;10,95;7,8;
2020;Abril;12,03;8,74;
2020;Mayo;12,67;9,14;
2020;Junio;12,85;9,16;
2020;Julio;12,93;9,37;
2020;Agosto;13,03;9,5;
2020;Septiembre;12,81;9,36;
2020;Octubre;13,13;9,51;
2020;Noviembre;13,28;9,51;
2020;Diciembre;13,34;9,54;
2021;Enero;13,61;9,71;
2021;Febrero;13,83;9,87;
2021;Marzo;13,72;9,83;
2021;Abril;13,74;9,72;
2021;Mayo;13,46;9,48;
2021;Junio;13,24;9,29;
2021;Julio;12,88;9,14;
2021;Agosto;12,82;9,17;
2021;Septiembre;12,47;8,95;
2021;Octubre;12,17;8,71;
2021;Noviembre;12,01;8,51;
2021;Diciembre;11,2;7,91;
2022;Enero;11,04;7,74;
2022;Febrero;10,55;7,33;
2022;Marzo;10,64;7,28;
2022;Abril;10,21;7,01;
2022;Mayo;9,75;6,68;
2022;Junio;9,79;6,5;
2022;Julio;9,52;6,56;
2022;Agosto;9,48;6,6;
2022;Septiembre;9,55;6,6;
2022;Octubre;9,57;6,57;
2022;Noviembre;9,34;6,42;
2022;Diciembre;9,22;6,33;
2023;Enero;9,63;6,56;
2023;Febrero;9,78;6,67;
2023;Marzo;9,9;6,72;
2023;Abril;9,7;6,59;
2023;Mayo;9,31;6,38;
2023;Junio;9,17;6,32;
2023;Julio;8,79;6,2;
2023;Agosto;8,81;6,23;
2023;Septiembre;8,9;6,26;
2023;Octubre;8,88;6,23;
2023;Noviembre;8,77;6,13;
2023;Diciembre;8,6;6,02;
2024;Enero;8,98;6,23;
2024;Febrero;8,96;6,22;
2024;Marzo;8,94;6,24;
2024;Abril;8,84;6,07;
2024;Mayo;8,53;5,94;
2024;Junio;8,3;5,84;
2024;Julio;8,14;5,83;
2024;Agosto;8,13;5,87;
2024;Septiembre;8,17;5,87;
2024;Octubre;8,2;5,85;
2024;Noviembre;8,06;5,76;
2024;Diciembre;8,58;5,68;
2025;Enero;8,74;5,75;
2025;Febrero;8,86;5,84;
2025;Marzo;8,31;5,89;
2025;Abril;8,26;5,82;
2025;Mayo;7,99;5,69;
2025;Junio;7,79;5,57;
2025;Julio;7,71;5,59;
2025;Agosto;7,81;5,7;
2025;Septiembre;7,82;5,66;
2025;Octubre;7,92;5,71;
2025;Noviembre;7,84;5,64;
2025;Diciembre;7,82;5,61;
2026;Enero;7,98;5,69;
2026;Febrero;8,14;5,76;
