El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Puente de Vallecas;Madrid;
2005;Anual;15,8;16,3;
2006;Anual;17,7;17,9;
2007;Anual;19;18,4;
2008;Anual;21,1;19,8;
2009;Anual;22,6;20,8;
2010;Anual;23;21,1;
2011;Anual;23,2;21,1;
2012;Anual;23;20,4;
2013;Anual;22,6;20,2;
2014;Anual;22,2;19,5;
2015;Anual;22,2;19,3;
2016;Anual;23;19,7;
2017;Anual;23,8;20,1;
2018;Anual;25,39;21,03;
2019;Anual;27,3;22,16;
2020;Anual;29,58;23,61;
2021;Anual;30,58;24,32;
2022;Anual;30,85;24,62;
2023;Anual;33,39;26,3;
2024;Anual;36,57;28,76;
2025;Anual;38,62;30,22;
