El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Puente de Vallecas;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;3,82;8;
2011;Anual;3,91;8,38;
2012;Anual;3,59;8,52;
2013;Anual;3,73;9;
2014;Anual;4,1;8,85;
2015;Anual;4,22;9,26;
2016;Anual;4,21;9,39;
2017;Anual;4,51;9,54;
2018;Anual;3,67;9,62;
2019;Anual;4,84;8,96;
2020;Anual;5;8,95;
2021;Anual;4,87;8,87;
2022;Anual;4,83;9,02;
2023;Anual;4,8;9,8;
2024;Anual;;;
2025;Anual;;9;
