El municipio en cifras
Parados registrados
Año;Periodos;Puente de Vallecas;
2012;Diciembre;25268;
2013;Enero;26084;
2013;Febrero;26638;
2013;Marzo;26510;
2013;Abril;26573;
2013;Mayo;26061;
2013;Junio;25826;
2013;Julio;25400;
2013;Agosto;25399;
2013;Septiembre;25860;
2013;Octubre;26242;
2013;Noviembre;26117;
2013;Diciembre;25288;
2014;Enero;25743;
2014;Febrero;26036;
2014;Marzo;25940;
2014;Abril;25596;
2014;Mayo;24923;
2014;Junio;24213;
2014;Julio;24104;
2014;Agosto;24163;
2014;Septiembre;24546;
2014;Octubre;24717;
2014;Noviembre;24602;
2014;Diciembre;24025;
2015;Enero;24421;
2015;Febrero;24628;
2015;Marzo;24556;
2015;Abril;23974;
2015;Mayo;23292;
2015;Junio;22746;
2015;Julio;22377;
2015;Agosto;22450;
2015;Septiembre;22674;
2015;Octubre;22987;
2015;Noviembre;22863;
2015;Diciembre;22303;
2016;Enero;22737;
2016;Febrero;22894;
2016;Marzo;22742;
2016;Abril;22276;
2016;Mayo;21705;
2016;Junio;21403;
2016;Julio;20911;
2016;Agosto;20921;
2016;Septiembre;20977;
2016;Octubre;20956;
2016;Noviembre;20650;
2016;Diciembre;20089;
2017;Enero;20476;
2017;Febrero;20775;
2017;Marzo;20531;
2017;Abril;19932;
2017;Mayo;19406;
2017;Junio;19359;
2017;Julio;19266;
2017;Agosto;19447;
2017;Septiembre;19575;
2017;Octubre;19735;
2017;Noviembre;19380;
2017;Diciembre;18699;
2018;Enero;19398;
2018;Febrero;19585;
2018;Marzo;19475;
2018;Abril;18951;
2018;Mayo;18513;
2018;Junio;18166;
2018;Julio;17959;
2018;Agosto;17980;
2018;Septiembre;18024;
2018;Octubre;18105;
2018;Noviembre;17887;
2018;Diciembre;17488;
2019;Enero;18101;
2019;Febrero;18315;
2019;Marzo;18350;
2019;Abril;18143;
2019;Mayo;17726;
2019;Junio;17353;
2019;Julio;17787;
2019;Agosto;17409;
2019;Septiembre;17215;
2019;Octubre;17339;
2019;Noviembre;17246;
2019;Diciembre;16851;
2020;Enero;17537;
2020;Febrero;17806;
2020;Marzo;18279;
2020;Abril;20083;
2020;Mayo;21110;
2020;Junio;21417;
2020;Julio;21478;
2020;Agosto;21649;
2020;Septiembre;21324;
2020;Octubre;21791;
2020;Noviembre;22041;
2020;Diciembre;22125;
2021;Enero;22568;
2021;Febrero;22878;
2021;Marzo;22500;
2021;Abril;22554;
2021;Mayo;22086;
2021;Junio;21644;
2021;Julio;21077;
2021;Agosto;20961;
2021;Septiembre;20398;
2021;Octubre;19883;
2021;Noviembre;19587;
2021;Diciembre;18337;
2022;Enero;17960;
2022;Febrero;17206;
2022;Marzo;17387;
2022;Abril;16787;
2022;Mayo;16103;
2022;Junio;16244;
2022;Julio;15799;
2022;Agosto;15799;
2022;Septiembre;15885;
2022;Octubre;15989;
2022;Noviembre;15654;
2022;Diciembre;15368;
2023;Enero;16051;
2023;Febrero;16300;
2023;Marzo;16489;
2023;Abril;16159;
2023;Mayo;15892;
2023;Junio;15657;
2023;Julio;15199;
2023;Agosto;15301;
2023;Septiembre;15453;
2023;Octubre;15500;
2023;Noviembre;15307;
2023;Diciembre;15141;
2024;Enero;15860;
2024;Febrero;15907;
2024;Marzo;15926;
2024;Abril;15776;
2024;Mayo;15307;
2024;Junio;14924;
2024;Julio;14700;
2024;Agosto;14670;
2024;Septiembre;14782;
2024;Octubre;14892;
2024;Noviembre;19390;
2024;Diciembre;15613;
2025;Enero;15896;
2025;Febrero;16151;
2025;Marzo;15138;
2025;Abril;15041;
2025;Mayo;14505;
2025;Junio;14082;
2025;Julio;13946;
2025;Agosto;14066;
2025;Septiembre;14055;
2025;Octubre;14259;
2025;Noviembre;14114;
2025;Diciembre;14055;
2026;Enero;14322;
2026;Febrero;14613;
