El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Puente de Vallecas;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;14,77;14,29;
2006;Anual;16,65;15,82;
2007;Anual;17,59;15,86;
2008;Anual;19,18;16,9;
2009;Anual;20,12;17,47;
2010;Anual;19,94;17,34;
2011;Anual;19,5;16,93;
2012;Anual;18,25;15,43;
2013;Anual;16,83;14,41;
2014;Anual;15,42;13,14;
2015;Anual;14,26;12,07;
2016;Anual;14,58;12,19;
2017;Anual;15,03;12,41;
2018;Anual;16,23;13,12;
2019;Anual;17,89;14,1;
2020;Anual;19,75;15,32;
2021;Anual;20,52;15,82;
2022;Anual;20,22;15,74;
2023;Anual;22,36;17,08;
2024;Anual;24,83;18,99;
2025;Anual;26,28;19,99;
