El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Moratalaz;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;1.968;3.972;5.940;42.053;92.109;134.162
2; 80 - 84;1.617;2.846;4.463;42.412;68.809;111.221
3; 75 - 79;1.706;2.750;4.456;53.602;80.108;133.710
4; 70 - 74;1.926;2.657;4.583;60.418;83.243;143.661
5; 65 - 69;2.604;3.302;5.906;80.493;102.569;183.062
6; 60 - 64;3.359;4.072;7.431;102.853;122.998;225.851
7; 55 - 59;3.455;4.296;7.751;116.074;132.847;248.921
8; 50 - 54;3.141;3.728;6.869;126.476;138.636;265.112
9; 45 - 49;2.818;3.116;5.934;130.316;139.236;269.552
10; 40 - 44;2.748;2.944;5.692;122.467;127.825;250.292
11; 35 - 39;2.683;2.779;5.462;122.464;125.667;248.131
12; 30 - 34;3.051;3.072;6.123;133.726;137.801;271.527
13; 25 - 29;3.095;3.120;6.215;124.072;132.589;256.661
14; 20 - 24;2.828;2.775;5.603;100.514;102.254;202.768
15; 15 - 19;2.184;2.038;4.222;84.747;81.427;166.174
16; 10 - 14;1.764;1.735;3.499;77.909;75.033;152.942
17; 5 - 9;1.555;1.627;3.182;71.169;68.166;139.335
18; 0 - 4;1.437;1.307;2.744;63.996;60.839;124.835
