El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Moratalaz;Madrid;
2005;Anual;14,25;13,59;
2006;Anual;14,21;13,6;
2007;Anual;14,14;13,72;
2008;Anual;14,1;13,87;
2009;Anual;14,03;14,05;
2010;Anual;13,92;14,19;
2011;Anual;13,73;14,29;
2012;Anual;13,59;14,4;
2013;Anual;13,38;14,46;
2014;Anual;13,09;14,48;
2015;Anual;12,77;14,5;
2016;Anual;12,54;14,51;
2017;Anual;12,33;14,49;
2018;Anual;12,14;14,37;
2019;Anual;11,88;14,22;
2020;Anual;11,57;13,98;
2021;Anual;11,41;13,76;
2022;Anual;11,12;13,55;
2023;Anual;10,94;13,29;
2024;Anual;10,82;13,03;
2025;Anual;10,58;12,74;
