El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Moratalaz;Madrid;
2005;Anual;65,7;67,8;
2006;Anual;65,1;67,7;
2007;Anual;64,6;67,5;
2008;Anual;64,2;67,5;
2009;Anual;63,7;67,4;
2010;Anual;63,3;67;
2011;Anual;62,8;66,7;
2012;Anual;62,5;66,2;
2013;Anual;62,2;65,9;
2014;Anual;61,8;65,3;
2015;Anual;61,6;65;
2016;Anual;61,7;65;
2017;Anual;61,8;65,1;
2018;Anual;61,9;65,2;
2019;Anual;62,07;65,53;
2020;Anual;62,47;65,96;
2021;Anual;62,54;66,21;
2022;Anual;62,51;66,17;
2023;Anual;62,64;66,51;
2024;Anual;62,99;67,01;
2025;Anual;63,04;67,25;
