El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Moratalaz;Madrid;
2005;Anual;20,09;18,62;
2006;Anual;20,71;18,74;
2007;Anual;21,26;18,76;
2008;Anual;21,68;18,58;
2009;Anual;22,22;18,58;
2010;Anual;22,81;18,77;
2011;Anual;23,45;19,04;
2012;Anual;23,93;19,36;
2013;Anual;24,45;19,67;
2014;Anual;25,07;20,18;
2015;Anual;25,62;20,49;
2016;Anual;25,73;20,46;
2017;Anual;25,9;20,46;
2018;Anual;26;20,39;
2019;Anual;26,05;20,26;
2020;Anual;25,96;20,06;
2021;Anual;26,05;20,03;
2022;Anual;26,38;20,28;
2023;Anual;26,41;20,2;
2024;Anual;26,19;19,97;
2025;Anual;26,39;20,01;
