El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Moratalaz;Madrid;
2005;Anual;20,17;26,61;
2006;Anual;20,39;27,11;
2007;Anual;21,37;28,12;
2008;Anual;22,49;28,96;
2009;Anual;23,71;29,9;
2010;Anual;24,9;30,78;
2011;Anual;26,4;31,72;
2012;Anual;28,16;32,61;
2013;Anual;29,97;33,51;
2014;Anual;31,73;34,33;
2015;Anual;33,7;35,02;
2016;Anual;35,47;35,49;
2017;Anual;37,22;36,1;
2018;Anual;38,71;36,19;
2019;Anual;39,5;36;
2020;Anual;39,4;35,2;
2021;Anual;40,3;35,4;
2022;Anual;40,6;35;
2023;Anual;40,61;34,59;
2024;Anual;41,1;34,7;
2025;Anual;41,05;34,76;
