El municipio en cifras
Índice de feminidad
Año;Periodos;Moratalaz;Madrid;
2005;Anual;112;112,8;
2006;Anual;112,1;112,5;
2007;Anual;112,2;112,6;
2008;Anual;112,6;112,4;
2009;Anual;113,1;112,3;
2010;Anual;113,6;112,7;
2011;Anual;114,5;113,3;
2012;Anual;115,7;114;
2013;Anual;116,6;114,5;
2014;Anual;116,7;114,8;
2015;Anual;117,5;115;
2016;Anual;117,3;114,9;
2017;Anual;117,8;114,8;
2018;Anual;118,2;114,7;
2019;Anual;119;114,7;
2020;Anual;119,4;114,5;
2021;Anual;119,9;114,4;
2022;Anual;119,5;114,1;
2023;Anual;119,9;114,1;
2024;Anual;119,1;113,5;
2025;Anual;118,7;113,1;
