El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Moratalaz;Madrid;
2005;Anual;9,9;16,3;
2006;Anual;11,2;17,9;
2007;Anual;12;18,4;
2008;Anual;13,2;19,8;
2009;Anual;14;20,8;
2010;Anual;14,2;21,1;
2011;Anual;14,3;21,1;
2012;Anual;14,2;20,4;
2013;Anual;14;20,2;
2014;Anual;13,7;19,5;
2015;Anual;13,6;19,3;
2016;Anual;14,1;19,7;
2017;Anual;14,6;20,1;
2018;Anual;15,19;21,03;
2019;Anual;16,33;22,16;
2020;Anual;17,76;23,61;
2021;Anual;18,16;24,32;
2022;Anual;18,52;24,62;
2023;Anual;20,2;26,3;
2024;Anual;22,64;28,76;
2025;Anual;23,94;30,22;
