El municipio en cifras
Población
Año;Periodos;Moratalaz;
1987;Anual;106082;
1988;Anual;106183;
1989;Anual;105814;
1990;Anual;106360;
1991;Anual;105341;
1992;Anual;105711;
1993;Anual;107184;
1994;Anual;107395;
1995;Anual;106958;
1996;Anual;105456;
1997;Anual;105305;
1998;Anual;105153;
1999;Anual;104589;
2000;Anual;104942;
2001;Anual;106596;
2002;Anual;107405;
2003;Anual;108248;
2004;Anual;107877;
2005;Anual;106858;
2006;Anual;106344;
2007;Anual;104923;
2008;Anual;104494;
2009;Anual;103704;
2010;Anual;102671;
2011;Anual;101112;
2012;Anual;99766;
2013;Anual;97965;
2014;Anual;96171;
2015;Anual;94813;
2016;Anual;94607;
2017;Anual;94197;
2018;Anual;94261;
2019;Anual;94609;
2020;Anual;95614;
2021;Anual;93810;
2022;Anual;92390;
2023;Anual;92814;
2024;Anual;95123;
2025;Anual;96075;
