El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Moratalaz;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;8,82;71;
2011;Anual;9,15;69,87;
2012;Anual;8,95;70,49;
2013;Anual;12,09;73;
2014;Anual;12,93;73,66;
2015;Anual;14,66;76,17;
2016;Anual;15,31;79,58;
2017;Anual;15,5;81,08;
2018;Anual;15,92;83,22;
2019;Anual;16,02;85,23;
2020;Anual;15,98;85,5;
2021;Anual;15,42;83,51;
2022;Anual;16,22;88,8;
2023;Anual;16,79;91,68;
