El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Moratalaz;Madrid;
2015;Enero;12,1;11,24;
2015;Febrero;12,08;11,3;
2015;Marzo;12,04;11,24;
2015;Abril;11,89;10,97;
2015;Mayo;11,5;10,62;
2015;Junio;11,34;10,33;
2015;Julio;11,25;10,25;
2015;Agosto;11,4;10,39;
2015;Septiembre;11,19;10,35;
2015;Octubre;11,16;10,4;
2015;Noviembre;10,95;10,27;
2015;Diciembre;10,72;10,07;
2016;Enero;10,92;10,23;
2016;Febrero;10,96;10,27;
2016;Marzo;10,9;10,22;
2016;Abril;10,72;10,02;
2016;Mayo;10,46;9,72;
2016;Junio;10,18;9,56;
2016;Julio;10,12;9,46;
2016;Agosto;10,26;9,57;
2016;Septiembre;10,13;9,46;
2016;Octubre;10,18;9,46;
2016;Noviembre;9,94;9,34;
2016;Diciembre;9,71;9,09;
2017;Enero;9,96;9,29;
2017;Febrero;10,18;9,35;
2017;Marzo;9,96;9,2;
2017;Abril;9,62;8,95;
2017;Mayo;9,48;8,74;
2017;Junio;9,42;8,6;
2017;Julio;9,6;8,63;
2017;Agosto;9,66;8,74;
2017;Septiembre;9,63;8,7;
2017;Octubre;9,63;8,7;
2017;Noviembre;9,4;8,48;
2017;Diciembre;9,13;8,28;
2018;Enero;9,3;8,53;
2018;Febrero;9,5;8,57;
2018;Marzo;9,44;8,48;
2018;Abril;9,24;8,3;
2018;Mayo;9,13;8,05;
2018;Junio;8,82;7,85;
2018;Julio;8,91;7,85;
2018;Agosto;8,94;7,91;
2018;Septiembre;8,85;7,87;
2018;Octubre;8,75;7,81;
2018;Noviembre;8,43;7,67;
2018;Diciembre;8,33;7,48;
2019;Enero;8,5;7,73;
2019;Febrero;8,57;7,82;
2019;Marzo;8,52;7,8;
2019;Abril;8,34;7,66;
2019;Mayo;8,26;7,48;
2019;Junio;8,07;7,35;
2019;Julio;7,99;7,37;
2019;Agosto;8,17;7,49;
2019;Septiembre;8,27;7,43;
2019;Octubre;8,33;7,52;
2019;Noviembre;8,23;7,45;
2019;Diciembre;8,08;7,3;
2020;Enero;8,31;7,54;
2020;Febrero;8,41;7,57;
2020;Marzo;8,61;7,8;
2020;Abril;9,42;8,74;
2020;Mayo;9,87;9,14;
2020;Junio;9,9;9,16;
2020;Julio;10,12;9,37;
2020;Agosto;10,28;9,5;
2020;Septiembre;10,23;9,36;
2020;Octubre;10,35;9,51;
2020;Noviembre;10,26;9,51;
2020;Diciembre;10,35;9,54;
2021;Enero;10,57;9,71;
2021;Febrero;10,61;9,87;
2021;Marzo;10,62;9,83;
2021;Abril;10,55;9,72;
2021;Mayo;10,28;9,48;
2021;Junio;10,24;9,29;
2021;Julio;10,12;9,14;
2021;Agosto;10,26;9,17;
2021;Septiembre;10,05;8,95;
2021;Octubre;9,81;8,71;
2021;Noviembre;9,67;8,51;
2021;Diciembre;9,01;7,91;
2022;Enero;8,79;7,74;
2022;Febrero;8,38;7,33;
2022;Marzo;8,34;7,28;
2022;Abril;8,11;7,01;
2022;Mayo;7,85;6,68;
2022;Junio;7,56;6,5;
2022;Julio;7,65;6,56;
2022;Agosto;7,69;6,6;
2022;Septiembre;7,63;6,6;
2022;Octubre;7,59;6,57;
2022;Noviembre;7,46;6,42;
2022;Diciembre;7,34;6,33;
2023;Enero;7,67;6,56;
2023;Febrero;7,72;6,67;
2023;Marzo;7,8;6,72;
2023;Abril;7,69;6,59;
2023;Mayo;7,54;6,38;
2023;Junio;7,42;6,32;
2023;Julio;7,27;6,2;
2023;Agosto;7,31;6,23;
2023;Septiembre;7,45;6,26;
2023;Octubre;7,37;6,23;
2023;Noviembre;7,24;6,13;
2023;Diciembre;6,97;6,02;
2024;Enero;7,29;6,23;
2024;Febrero;7,32;6,22;
2024;Marzo;7,32;6,24;
2024;Abril;7,13;6,07;
2024;Mayo;6,99;5,94;
2024;Junio;6,88;5,84;
2024;Julio;6,78;5,83;
2024;Agosto;6,74;5,87;
2024;Septiembre;6,81;5,87;
2024;Octubre;6,84;5,85;
2024;Noviembre;6,67;5,76;
2024;Diciembre;5,52;5,68;
2025;Enero;5,65;5,75;
2025;Febrero;5,84;5,84;
2025;Marzo;7,01;5,89;
2025;Abril;7,01;5,82;
2025;Mayo;6,82;5,69;
2025;Junio;6,67;5,57;
2025;Julio;6,73;5,59;
2025;Agosto;6,83;5,7;
2025;Septiembre;6,84;5,66;
2025;Octubre;6,83;5,71;
2025;Noviembre;6,76;5,64;
2025;Diciembre;6,66;5,61;
2026;Enero;6,83;5,69;
2026;Febrero;6,89;5,76;
