El municipio en cifras
Parados registrados
Año;Periodos;Moratalaz;
2012;Diciembre;7347;
2013;Enero;7573;
2013;Febrero;7662;
2013;Marzo;7691;
2013;Abril;7706;
2013;Mayo;7614;
2013;Junio;7408;
2013;Julio;7446;
2013;Agosto;7472;
2013;Septiembre;7543;
2013;Octubre;7630;
2013;Noviembre;7597;
2013;Diciembre;7386;
2014;Enero;7531;
2014;Febrero;7541;
2014;Marzo;7553;
2014;Abril;7356;
2014;Mayo;7121;
2014;Junio;6936;
2014;Julio;7055;
2014;Agosto;7129;
2014;Septiembre;7091;
2014;Octubre;7172;
2014;Noviembre;7062;
2014;Diciembre;7029;
2015;Enero;7086;
2015;Febrero;7076;
2015;Marzo;7035;
2015;Abril;6938;
2015;Mayo;6704;
2015;Junio;6615;
2015;Julio;6577;
2015;Agosto;6646;
2015;Septiembre;6527;
2015;Octubre;6522;
2015;Noviembre;6421;
2015;Diciembre;6275;
2016;Enero;6394;
2016;Febrero;6430;
2016;Marzo;6365;
2016;Abril;6269;
2016;Mayo;6132;
2016;Junio;5953;
2016;Julio;5920;
2016;Agosto;5987;
2016;Septiembre;5917;
2016;Octubre;5928;
2016;Noviembre;5794;
2016;Diciembre;5666;
2017;Enero;5809;
2017;Febrero;5932;
2017;Marzo;5806;
2017;Abril;5612;
2017;Mayo;5525;
2017;Junio;5500;
2017;Julio;5609;
2017;Agosto;5642;
2017;Septiembre;5624;
2017;Octubre;5599;
2017;Noviembre;5500;
2017;Diciembre;5343;
2018;Enero;5436;
2018;Febrero;5557;
2018;Marzo;5529;
2018;Abril;5412;
2018;Mayo;5356;
2018;Junio;5181;
2018;Julio;5226;
2018;Agosto;5244;
2018;Septiembre;5193;
2018;Octubre;5131;
2018;Noviembre;4951;
2018;Diciembre;4898;
2019;Enero;5003;
2019;Febrero;5050;
2019;Marzo;5030;
2019;Abril;4923;
2019;Mayo;4893;
2019;Junio;4787;
2019;Julio;4761;
2019;Agosto;4878;
2019;Septiembre;4939;
2019;Octubre;4967;
2019;Noviembre;4921;
2019;Diciembre;4839;
2020;Enero;4981;
2020;Febrero;5018;
2020;Marzo;5151;
2020;Abril;5629;
2020;Mayo;5891;
2020;Junio;5905;
2020;Julio;6019;
2020;Agosto;6116;
2020;Septiembre;6082;
2020;Octubre;6136;
2020;Noviembre;6079;
2020;Diciembre;6113;
2021;Enero;6248;
2021;Febrero;6243;
2021;Marzo;6206;
2021;Abril;6172;
2021;Mayo;6003;
2021;Junio;5974;
2021;Julio;5900;
2021;Agosto;5966;
2021;Septiembre;5846;
2021;Octubre;5692;
2021;Noviembre;5607;
2021;Diciembre;5235;
2022;Enero;5091;
2022;Febrero;4854;
2022;Marzo;4837;
2022;Abril;4716;
2022;Mayo;4579;
2022;Junio;4425;
2022;Julio;4476;
2022;Agosto;4476;
2022;Septiembre;4456;
2022;Octubre;4441;
2022;Noviembre;4370;
2022;Diciembre;4279;
2023;Enero;4471;
2023;Febrero;4497;
2023;Marzo;4543;
2023;Abril;4482;
2023;Mayo;4436;
2023;Junio;4366;
2023;Julio;4323;
2023;Agosto;4354;
2023;Septiembre;4442;
2023;Octubre;4403;
2023;Noviembre;4324;
2023;Diciembre;4189;
2024;Enero;4383;
2024;Febrero;4411;
2024;Marzo;4415;
2024;Abril;4314;
2024;Mayo;4233;
2024;Junio;4170;
2024;Julio;4119;
2024;Agosto;4088;
2024;Septiembre;4138;
2024;Octubre;4163;
2024;Noviembre;3643;
2024;Diciembre;3354;
2025;Enero;3431;
2025;Febrero;3553;
2025;Marzo;4249;
2025;Abril;4244;
2025;Mayo;4113;
2025;Junio;4006;
2025;Julio;4036;
2025;Agosto;4075;
2025;Septiembre;4071;
2025;Octubre;4066;
2025;Noviembre;4021;
2025;Diciembre;3948;
2026;Enero;4039;
2026;Febrero;4074;
