El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Ciudad Lineal;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;3.403;7.364;10.767;42.053;92.109;134.162
2; 80 - 84;2.992;5.241;8.233;42.412;68.809;111.221
3; 75 - 79;3.827;5.763;9.590;53.602;80.108;133.710
4; 70 - 74;4.253;5.937;10.190;60.418;83.243;143.661
5; 65 - 69;5.620;7.661;13.281;80.493;102.569;183.062
6; 60 - 64;6.898;9.066;15.964;102.853;122.998;225.851
7; 55 - 59;7.539;9.357;16.896;116.074;132.847;248.921
8; 50 - 54;7.799;8.949;16.748;126.476;138.636;265.112
9; 45 - 49;8.202;8.642;16.844;130.316;139.236;269.552
10; 40 - 44;7.670;8.253;15.923;122.467;127.825;250.292
11; 35 - 39;8.224;8.259;16.483;122.464;125.667;248.131
12; 30 - 34;9.299;9.620;18.919;133.726;137.801;271.527
13; 25 - 29;8.415;8.672;17.087;124.072;132.589;256.661
14; 20 - 24;6.412;6.358;12.770;100.514;102.254;202.768
15; 15 - 19;5.058;4.922;9.980;84.747;81.427;166.174
16; 10 - 14;4.517;4.379;8.896;77.909;75.033;152.942
17; 5 - 9;4.250;3.982;8.232;71.169;68.166;139.335
18; 0 - 4;3.739;3.533;7.272;63.996;60.839;124.835
