El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Ciudad Lineal;Madrid;
2005;Anual;13,54;13,59;
2006;Anual;13,54;13,6;
2007;Anual;13,48;13,72;
2008;Anual;13,43;13,87;
2009;Anual;13,47;14,05;
2010;Anual;13,53;14,19;
2011;Anual;13,54;14,29;
2012;Anual;13,49;14,4;
2013;Anual;13,48;14,46;
2014;Anual;13,33;14,48;
2015;Anual;13,26;14,5;
2016;Anual;13,25;14,51;
2017;Anual;13,17;14,49;
2018;Anual;12,97;14,37;
2019;Anual;12,76;14,22;
2020;Anual;12,51;13,98;
2021;Anual;12,27;13,76;
2022;Anual;12;13,55;
2023;Anual;11,69;13,29;
2024;Anual;11,48;13,03;
2025;Anual;11,25;12,74;
