El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Ciudad Lineal;Madrid;
2005;Anual;66,3;67,8;
2006;Anual;66;67,7;
2007;Anual;65,7;67,5;
2008;Anual;65,9;67,5;
2009;Anual;65,7;67,4;
2010;Anual;65,4;67;
2011;Anual;65;66,7;
2012;Anual;64,7;66,2;
2013;Anual;64,2;65,9;
2014;Anual;63,8;65,3;
2015;Anual;63,5;65;
2016;Anual;63,6;65;
2017;Anual;63,6;65,1;
2018;Anual;64;65,2;
2019;Anual;64,41;65,53;
2020;Anual;64,83;65,96;
2021;Anual;65,02;66,21;
2022;Anual;64,99;66,17;
2023;Anual;65,69;66,51;
2024;Anual;66,32;67,01;
2025;Anual;66,51;67,25;
