El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Ciudad Lineal;Madrid;
2005;Anual;20,16;18,62;
2006;Anual;20,5;18,74;
2007;Anual;20,79;18,76;
2008;Anual;20,68;18,58;
2009;Anual;20,78;18,58;
2010;Anual;21,05;18,77;
2011;Anual;21,43;19,04;
2012;Anual;21,85;19,36;
2013;Anual;22,31;19,67;
2014;Anual;22,9;20,18;
2015;Anual;23,21;20,49;
2016;Anual;23,18;20,46;
2017;Anual;23,19;20,46;
2018;Anual;23,06;20,39;
2019;Anual;22,83;20,26;
2020;Anual;22,65;20,06;
2021;Anual;22,71;20,03;
2022;Anual;23,01;20,28;
2023;Anual;22,62;20,2;
2024;Anual;22,2;19,97;
2025;Anual;22,24;20,01;
