El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Ciudad Lineal;Madrid;
2005;Anual;24,85;26,61;
2006;Anual;25,74;27,11;
2007;Anual;26,81;28,12;
2008;Anual;27,97;28,96;
2009;Anual;29,24;29,9;
2010;Anual;30,45;30,78;
2011;Anual;31,92;31,72;
2012;Anual;33,26;32,61;
2013;Anual;34,58;33,51;
2014;Anual;35,89;34,33;
2015;Anual;36,93;35,02;
2016;Anual;37,61;35,49;
2017;Anual;38,42;36,1;
2018;Anual;38,91;36,19;
2019;Anual;38,7;36;
2020;Anual;37,9;35,2;
2021;Anual;38,1;35,4;
2022;Anual;37,5;35;
2023;Anual;36,84;34,59;
2024;Anual;36,7;34,7;
2025;Anual;36,5;34,76;
