El municipio en cifras
Índice de feminidad
Año;Periodos;Ciudad Lineal;Madrid;
2005;Anual;115,6;112,8;
2006;Anual;115,8;112,5;
2007;Anual;116,5;112,6;
2008;Anual;116,4;112,4;
2009;Anual;116,7;112,3;
2010;Anual;117;112,7;
2011;Anual;117,8;113,3;
2012;Anual;118,8;114;
2013;Anual;119,5;114,5;
2014;Anual;120;114,8;
2015;Anual;119,8;115;
2016;Anual;120,2;114,9;
2017;Anual;120,6;114,8;
2018;Anual;120,4;114,7;
2019;Anual;119,9;114,7;
2020;Anual;119,9;114,5;
2021;Anual;120,1;114,4;
2022;Anual;119,7;114,1;
2023;Anual;118,7;114,1;
2024;Anual;117,4;113,5;
2025;Anual;116,5;113,1;
