El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Ciudad Lineal;Madrid;
2005;Anual;17,3;16,3;
2006;Anual;18,9;17,9;
2007;Anual;19,4;18,4;
2008;Anual;21,1;19,8;
2009;Anual;22,2;20,8;
2010;Anual;22,6;21,1;
2011;Anual;22,6;21,1;
2012;Anual;22,1;20,4;
2013;Anual;21,8;20,2;
2014;Anual;21,2;19,5;
2015;Anual;21,2;19,3;
2016;Anual;21,8;19,7;
2017;Anual;22,4;20,1;
2018;Anual;23,43;21,03;
2019;Anual;24,64;22,16;
2020;Anual;25,96;23,61;
2021;Anual;26,54;24,32;
2022;Anual;26,88;24,62;
2023;Anual;28,65;26,3;
2024;Anual;31,04;28,76;
2025;Anual;32,29;30,22;
