El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Ciudad Lineal;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;15,16;14,29;
2006;Anual;16,62;15,82;
2007;Anual;16,63;15,86;
2008;Anual;17,69;16,9;
2009;Anual;18,2;17,47;
2010;Anual;18,08;17,34;
2011;Anual;17,49;16,93;
2012;Anual;15,93;15,43;
2013;Anual;14,57;14,41;
2014;Anual;13,14;13,14;
2015;Anual;12,01;12,07;
2016;Anual;12,23;12,19;
2017;Anual;12,44;12,41;
2018;Anual;13,19;13,12;
2019;Anual;14,18;14,1;
2020;Anual;15,36;15,32;
2021;Anual;15,71;15,82;
2022;Anual;15,6;15,74;
2023;Anual;17,17;17,08;
2024;Anual;18,99;18,99;
2025;Anual;19,8;19,99;
