El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Ciudad Lineal;Madrid;
2015;Enero;11,17;11,24;
2015;Febrero;11,33;11,3;
2015;Marzo;11,27;11,24;
2015;Abril;11,01;10,97;
2015;Mayo;10,62;10,62;
2015;Junio;10,32;10,33;
2015;Julio;10,27;10,25;
2015;Agosto;10,35;10,39;
2015;Septiembre;10,31;10,35;
2015;Octubre;10,4;10,4;
2015;Noviembre;10,21;10,27;
2015;Diciembre;10,04;10,07;
2016;Enero;10,19;10,23;
2016;Febrero;10,22;10,27;
2016;Marzo;10,17;10,22;
2016;Abril;9,99;10,02;
2016;Mayo;9,71;9,72;
2016;Junio;9,5;9,56;
2016;Julio;9,36;9,46;
2016;Agosto;9,47;9,57;
2016;Septiembre;9,37;9,46;
2016;Octubre;9,4;9,46;
2016;Noviembre;9,23;9,34;
2016;Diciembre;8,99;9,09;
2017;Enero;9,18;9,29;
2017;Febrero;9,27;9,35;
2017;Marzo;9,17;9,2;
2017;Abril;8,89;8,95;
2017;Mayo;8,56;8,74;
2017;Junio;8,36;8,6;
2017;Julio;8,34;8,63;
2017;Agosto;8,43;8,74;
2017;Septiembre;8,42;8,7;
2017;Octubre;8,42;8,7;
2017;Noviembre;8,26;8,48;
2017;Diciembre;8,1;8,28;
2018;Enero;8,4;8,53;
2018;Febrero;8,4;8,57;
2018;Marzo;8,27;8,48;
2018;Abril;8,05;8,3;
2018;Mayo;7,7;8,05;
2018;Junio;7,53;7,85;
2018;Julio;7,52;7,85;
2018;Agosto;7,6;7,91;
2018;Septiembre;7,56;7,87;
2018;Octubre;7,52;7,81;
2018;Noviembre;7,36;7,67;
2018;Diciembre;7,18;7,48;
2019;Enero;7,48;7,73;
2019;Febrero;7,59;7,82;
2019;Marzo;7,53;7,8;
2019;Abril;7,32;7,66;
2019;Mayo;7,14;7,48;
2019;Junio;7,01;7,35;
2019;Julio;7,21;7,37;
2019;Agosto;7,28;7,49;
2019;Septiembre;7,2;7,43;
2019;Octubre;7,31;7,52;
2019;Noviembre;7,21;7,45;
2019;Diciembre;7,12;7,3;
2020;Enero;7,35;7,54;
2020;Febrero;7,31;7,57;
2020;Marzo;7,48;7,8;
2020;Abril;8,5;8,74;
2020;Mayo;8,94;9,14;
2020;Junio;8,91;9,16;
2020;Julio;9,14;9,37;
2020;Agosto;9,29;9,5;
2020;Septiembre;9,14;9,36;
2020;Octubre;9,23;9,51;
2020;Noviembre;9,26;9,51;
2020;Diciembre;9,35;9,54;
2021;Enero;9,59;9,71;
2021;Febrero;9,76;9,87;
2021;Marzo;9,72;9,83;
2021;Abril;9,58;9,72;
2021;Mayo;9,35;9,48;
2021;Junio;9,07;9,29;
2021;Julio;8,92;9,14;
2021;Agosto;8,93;9,17;
2021;Septiembre;8,74;8,95;
2021;Octubre;8,54;8,71;
2021;Noviembre;8,28;8,51;
2021;Diciembre;7,68;7,91;
2022;Enero;7,52;7,74;
2022;Febrero;7,12;7,33;
2022;Marzo;7,05;7,28;
2022;Abril;6,78;7,01;
2022;Mayo;6,44;6,68;
2022;Junio;6,32;6,5;
2022;Julio;6,26;6,56;
2022;Agosto;6,31;6,6;
2022;Septiembre;6,37;6,6;
2022;Octubre;6,35;6,57;
2022;Noviembre;6,28;6,42;
2022;Diciembre;6,13;6,33;
2023;Enero;6,33;6,56;
2023;Febrero;6,43;6,67;
2023;Marzo;6,43;6,72;
2023;Abril;6,34;6,59;
2023;Mayo;6,06;6,38;
2023;Junio;6,03;6,32;
2023;Julio;5,92;6,2;
2023;Agosto;5,93;6,23;
2023;Septiembre;5,97;6,26;
2023;Octubre;5,96;6,23;
2023;Noviembre;5,91;6,13;
2023;Diciembre;5,77;6,02;
2024;Enero;5,95;6,23;
2024;Febrero;5,95;6,22;
2024;Marzo;5,97;6,24;
2024;Abril;5,81;6,07;
2024;Mayo;5,74;5,94;
2024;Junio;5,61;5,84;
2024;Julio;5,61;5,83;
2024;Agosto;5,63;5,87;
2024;Septiembre;5,67;5,87;
2024;Octubre;5,64;5,85;
2024;Noviembre;5,59;5,76;
2024;Diciembre;5,57;5,68;
2025;Enero;5,71;5,75;
2025;Febrero;5,8;5,84;
2025;Marzo;5,69;5,89;
2025;Abril;5,68;5,82;
2025;Mayo;5,59;5,69;
2025;Junio;5,51;5,57;
2025;Julio;5,52;5,59;
2025;Agosto;5,62;5,7;
2025;Septiembre;5,58;5,66;
2025;Octubre;5,61;5,71;
2025;Noviembre;5,6;5,64;
2025;Diciembre;5,54;5,61;
2026;Enero;5,68;5,69;
2026;Febrero;5,76;5,76;
