El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Ciudad Lineal;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;5,91;8;
2011;Anual;6,09;8,38;
2012;Anual;5,51;8,52;
2013;Anual;5,81;9;
2014;Anual;6,54;8,85;
2015;Anual;6,83;9,26;
2016;Anual;6,94;9,39;
2017;Anual;7,38;9,54;
2018;Anual;5,91;9,62;
2019;Anual;7,86;8,96;
2020;Anual;7,95;8,95;
2021;Anual;7,72;8,87;
2022;Anual;7,6;9,02;
2023;Anual;7,32;9,8;
2024;Anual;;;
2025;Anual;;9;
